t             ,x             ,y             ,z             
31115942216000,  0.1210924411,  0.0629628158, -0.1206003889
31115970296000,  0.0011645376,  0.1858905651, -0.2066606102
31115982012000, -0.1500596192,  0.3162050282, -0.2679398444
31116002462000, -0.3122223123,  0.4332805988, -0.2868581021
31116022034000, -0.4629278067,  0.5177997048, -0.2535183608
31116042034000, -0.5823463983,  0.5562018756, -0.1691198996
31116062129000, -0.6568290188,  0.5438847222, -0.0467904196
31116082011000, -0.6812909273,  0.4868292114,  0.0901842809
31116102127000, -0.6597147541,  0.4009961864,  0.2126493180
31116122532000, -0.6039115147,  0.3093098699,  0.2912253831
31116145154000, -0.5307919519,  0.2368530926,  0.3025243540
31116162867000, -0.4576824213,  0.2052292002,  0.2347019947
31116182101000, -0.3987592316,  0.2271829898,  0.0908409056
31116202159000, -0.3619924334,  0.3027347284, -0.1107298556
31116222021000, -0.3472445850,  0.4173220789, -0.3393759993
31116242004000, -0.3464165845,  0.5430383872, -0.5577256808
31116261992000, -0.3454296509,  0.6429367801, -0.7288755790
31116282316000, -0.3274243469,  0.6772444190, -0.8237943933
31116303536000, -0.2762621006,  0.6104288804, -0.8273675109
31116322307000, -0.1798126553,  0.4176642012, -0.7419377248
31116342299000, -0.0321446210,  0.0894255944, -0.5874931899
31116361999000,  0.1655010472, -0.3668650249, -0.3981945693
31116382789000,  0.4053177407, -0.9284376816, -0.2161304255
31116403362000,  0.6745896438, -1.5615722458, -0.0836790056
31116422017000,  0.9578952867, -2.2274171418, -0.0358114674
31116442002000,  1.2392048057, -2.8888178346, -0.0937343776
31116461986000,  1.5036996207, -3.5162311346, -0.2613673036
31116482764000,  1.7385646600, -4.0914934756, -0.5250710226
31116502882000,  1.9325773512, -4.6084537179, -0.8567271612
31116522337000,  2.0755251676, -5.0707007192, -1.2190519599
31116542076000,  2.1576464689, -5.4869670025, -1.5722180736
31116562449000,  2.1693683216, -5.8655856941, -1.8801828399
31116581982000,  2.1021148214, -6.2090486435, -2.1154982401
31116602169000,  1.9500743104, -6.5106253596, -2.2620420002
31116622044000,  1.7127747808, -6.7534824159, -2.3151013227
31116641999000,  1.3976164125, -6.9130309875, -2.2795207871
31116661986000,  1.0220411520, -6.9618787582, -2.1661148789
31116682004000,  0.6135648229, -6.8762557316, -1.9874469095
31116703312000,  0.2075347915, -6.6425422976, -1.7549412050
31116722172000, -0.1572546103, -6.2621536658, -1.4775331440
31116742144000, -0.4446633893, -5.7536549182, -1.1621012632
31116762082000, -0.6276811645, -5.1510552950, -0.8156646794
31116782022000, -0.6947758526, -4.4986964499, -0.4478501845
31116803277000, -0.6540048210, -3.8445142399, -0.0733102559
31116822012000, -0.5335008142, -3.2319139259,  0.2871439491
31116841992000, -0.3779572594, -2.6924282075,  0.6074597796
31116861987000, -0.2412723145, -2.2409306707,  0.8593876966
31116882021000, -0.1765291889, -1.8745107154,  1.0172629558
31116903286000, -0.2250167466, -1.5752929161,  1.0634538697
31116922017000, -0.4065713195, -1.3165049901,  0.9931833361
31116942089000, -0.7134002826, -1.0704992631,  0.8174769237
31116961986000, -1.1089161452, -0.8167243808,  0.5631661158
31116982016000, -1.5324454300, -0.5475101881,  0.2693240202
31117004364000, -1.9096135573, -0.2705262773, -0.0183800363
31117022184000, -2.1667357959, -0.0075745301, -0.2552927336
31117042146000, -2.2463195387,  0.2110579867, -0.4058347860
31117062121000, -2.1203554148,  0.3541893755, -0.4499312248
31117082014000, -1.7984063886,  0.3987812959, -0.3875249880
31117103262000, -1.3305015291,  0.3380093276, -0.2390958715
31117122019000, -0.8004355365,  0.1856618376, -0.0415092867
31117141997000, -0.3129739735, -0.0238692059,  0.1594245694
31117161987000,  0.0240828306, -0.2405717254,  0.3175089511
31117182046000,  0.1197038068, -0.4076203359,  0.3947662839
31117203592000, -0.0824960429, -0.4724794027,  0.3684713423
31117222307000, -0.5919843639, -0.3975286391,  0.2350479026
31117242302000, -1.3673124366, -0.1681038803,  0.0097039387
31117262121000, -2.3214438068,  0.2040036326, -0.2779029670
31117282022000, -3.3352100229,  0.6825492180, -0.5900931091
31117303311000, -4.2767474093,  1.2139558710, -0.8887177869
31117322166000, -5.0237067990,  1.7379057692, -1.1424670935
31117342147000, -5.4842660335,  2.1994005869, -1.3323113179
31117362121000, -5.6119543471,  2.5594390540, -1.4534196882
31117382024000, -5.4125714128,  2.8018127412, -1.5136713783
31117403354000, -4.9413991045,  2.9349212104, -1.5294133974
31117422169000, -4.2914621776,  2.9876555851, -1.5195171775
31117442149000, -3.5750833380,  3.0002968027, -1.4995951513
31117462511000, -2.9023561669,  3.0126498447, -1.4778686585
31117482307000, -2.3608429567,  3.0523064429, -1.4535933294
31117502289000, -2.0003316277,  3.1255304331, -1.4185411820
31117522296000, -1.8254995873,  3.2134472484, -1.3610988020
31117542007000, -1.7980730960,  3.2750755410, -1.2717434505
31117562131000, -1.8473250132,  3.2562121571, -1.1481954898
31117582176000, -1.8868157423,  3.1026283358, -0.9987670891
31117602169000, -1.8337296037,  2.7749097011, -0.8425799423
31117622011000, -1.6273327023,  2.2616553947, -0.7064465959
31117641994000, -1.2422385347,  1.5879536406, -0.6186805413
31117662127000, -0.6940431958,  0.8165047657, -0.6013317182
31117682086000, -0.0365680614,  0.0407185311, -0.6626626666
31117702166000,  0.6487059756, -0.6292502816, -0.7918663879
31117722009000,  1.2688910857, -1.0855792978, -0.9580692508
31117741992000,  1.7378272264, -1.2428074040, -1.1140330842
