t             ,x             ,y             ,z             
2143645650000 ,  0.2545210524, -0.0195124892,  0.3469158123
2143665555000 ,  0.3765653306, -0.1160695612,  0.3842776593
2143694029000 ,  0.4943883345, -0.1947683990,  0.4045988753
2143705555000 ,  0.5926083367, -0.2363077976,  0.4032585483
2143725590000 ,  0.6589099147, -0.2287294066,  0.3773276315
2143745597000 ,  0.6865628476, -0.1704076624,  0.3262230258
2143765769000 ,  0.6757379339, -0.0708005874,  0.2521627766
2143786370000 ,  0.6331776577,  0.0511527759,  0.1603278602
2143805604000 ,  0.5703656178,  0.1706599403,  0.0585572272
2143825634000 ,  0.5006861404,  0.2620298348, -0.0433283406
2143845642000 ,  0.4361422005,  0.3040576229, -0.1345906158
2143865619000 ,  0.3844575434,  0.2844696159, -0.2047501651
2143885597000 ,  0.3473082761,  0.2025687210, -0.2447432475
2143905642000 ,  0.3203437830,  0.0696398069, -0.2479274437
2143926135000 ,  0.2949736627, -0.0930497017, -0.2111547290
2143945584000 ,  0.2612023739, -0.2582435611, -0.1355174227
2143965587000 ,  0.2111152025, -0.3975418886, -0.0269036119
2143985557000 ,  0.1416980387, -0.4863790447,  0.1036943084
2144005580000 ,  0.0565746193, -0.5079648095,  0.2399050222
2144025717000 , -0.0340895613, -0.4557784647,  0.3600058284
2144045587000 , -0.1157478798, -0.3340827245,  0.4373841850
2144065620000 , -0.1732088297, -0.1562392306,  0.4417930130
2144085575000 , -0.1952065002,  0.0580824151,  0.3416637043
2144105554000 , -0.1779836860,  0.2868657363,  0.1074563639
2144125729000 , -0.1270209809,  0.5093664276, -0.2842426594
2144145582000 , -0.0563888050,  0.7089684367, -0.8458210973
2144165587000 ,  0.0148383415,  0.8754645771, -1.5736616929
2144185560000 ,  0.0683602270,  1.0061552092, -2.4443115434
2144205590000 ,  0.0932601916,  1.1059174790, -3.4121772086
2144225725000 ,  0.0922003636,  1.1869679707, -4.4098079459
2144245590000 ,  0.0851967949,  1.2679059223, -5.3518762802
2144265582000 ,  0.1094428602,  1.3723105898, -6.1427863564
2144285557000 ,  0.2149222864,  1.5272332560, -6.6873140117
2144305585000 ,  0.4556012628,  1.7611933826, -6.9031616310
2144325720000 ,  0.8775936241,  2.1016932517, -6.7338628644
2144345590000 ,  1.5063799588,  2.5723089814, -6.1597667474
