t             ,x             ,y             ,z             
10998548813000, -0.1886090469,  0.4864658584, -2.5126110501
10998568778000, -0.2457298170,  0.6171271711, -2.9763304475
10998588829000, -0.2936641976,  0.7544310804, -3.2826140908
10998609328000, -0.3263933162,  0.8972443135, -3.3827307818
10998628764000, -0.3407353657,  1.0423277433, -3.2471922583
10998648759000, -0.3374723837,  1.1830441998, -2.8697040697
10998669316000, -0.3214900241,  1.3087438642, -2.2680628209
10998688861000, -0.3011290981,  1.4050328050, -1.4820300829
10998710208000, -0.2868383700,  1.4553131696, -0.5686212421
10998728831000, -0.2893138062,  1.4432145396,  0.4044311976
10998748843000, -0.3174729802,  1.3556415687,  1.3660112586
10998768814000, -0.3765716626,  1.1858537567,  2.2486034908
10998788841000, -0.4669345820,  0.9359856321,  2.9941591036
10998808769000, -0.5834420630,  0.6182507658,  3.5582282652
10998828829000, -0.7159796625,  0.2545225836,  3.9120925331
10998848871000, -0.8508021737, -0.1257666347,  4.0431115617
10998868853000, -0.9727341357, -0.4891626498,  3.9533819359
10998888849000, -1.0674410006, -0.8029470157,  3.6574400990
10998908843000, -1.1236424465, -1.0396824770,  3.1796679056
10998928834000, -1.1347753114, -1.1808901313,  2.5516082159
10998948973000, -1.0997460687, -1.2192498937,  1.8094674124
10998970213000, -1.0231457945, -1.1590506776,  0.9920402531
10998989786000, -0.9145259882, -1.0147533532,  0.1390180076
10999008809000, -0.7863207229, -0.8078543363, -0.7100761668
10999028793000, -0.6516146663, -0.5625976076, -1.5170549530
10999048784000, -0.5218821715, -0.3017320179, -2.2463336689
10999068766000, -0.4049863776, -0.0432399539, -2.8662214326
10999088748000, -0.3035406415,  0.2016342571, -3.3499850573
10999108793000, -0.2144953197,  0.4284524605, -3.6769431947
10999128944000, -0.1296159109,  0.6380665146, -3.8333712924
10999149124000, -0.0368778986,  0.8338014997, -3.8130479872
10999168919000,  0.0773572542,  1.0181295955, -3.6172899279
10999188776000,  0.2258051921,  1.1897102486, -3.2545541385
10999208789000,  0.4176555582,  1.3414098061, -2.7397630064
10999228918000,  0.6564184968,  1.4598827039, -2.0935609590
10999248898000,  0.9385424685,  1.5268768780, -1.3416876728
10999268769000,  1.2531243002,  1.5221410443, -0.5143655618
10999288766000,  1.5827476806,  1.4273400222,  0.3541166275
10999308791000,  1.9053279278,  1.2303428037,  1.2258590404
10999328943000,  2.1969384375,  0.9289028578,  2.0598346103
10999348929000,  2.4351269817,  0.5327798109,  2.8129981821
10999368768000,  2.6017066455,  0.0638057568,  3.4418946856
10999388766000,  2.6851397627, -0.4455801017,  3.9053698682
10999408789000,  2.6818726008, -0.9556715271,  4.1684810206
10999428946000,  2.5964654638, -1.4243531570,  4.2057861634
10999448903000,  2.4403365774, -1.8125306626,  4.0043001156
10999468769000,  2.2293180182, -2.0888120346,  3.5664201953
10999488768000,  1.9807312056, -2.2332906593,  2.9116707307
10999508791000,  1.7105770026, -2.2398616529,  2.0763189516
10999528934000,  1.4311822475, -2.1165831089,  1.1110361183
10999548899000,  1.1497546844, -1.8836900771,  0.0766735273
10999568769000,  0.8681911675, -1.5699042768, -0.9611302485
10999588766000,  0.5842973962, -1.2081470461, -1.9377104242
10999608786000,  0.2942299744, -0.8313044654, -2.7951268930
10999628939000, -0.0048385153, -0.4680700892, -3.4869995013
10999649108000, -0.3119914942, -0.1400144796, -3.9817170091
10999668753000, -0.6207398679,  0.1399286562, -4.2637416054
10999688766000, -0.9186644309,  0.3674655986, -4.3328131531
10999708791000, -1.1887231982,  0.5454275917, -4.2014101888
10999728941000, -1.4120318403,  0.6810652376, -3.8911278579
10999748786000, -1.5715555963,  0.7828322133, -3.4287710266
10999768769000, -1.6559676580,  0.8572133858, -2.8428873595
10999789506000, -1.6628082203,  0.9062690234, -2.1613689567
10999808799000, -1.6000895356,  0.9263076034, -1.4103844936
10999828781000, -1.4858271580,  0.9080576796, -0.6145996869
10999848776000, -1.3454193875,  0.8384799262,  0.2015806446
10999868771000, -1.2073215324,  0.7038279313,  1.0121338251
10999888749000, -1.0979360679,  0.4933949229,  1.7878993198
10999908788000, -1.0360177798,  0.2032369971,  2.4961227199
10999928943000, -1.0285877062, -0.1602374753,  3.1010026762
10999948788000, -1.0694827450, -0.5784511027,  3.5654527834
10999968768000, -1.1402070099, -1.0211829163,  3.8545004737
10999988766000, -1.2133378509, -1.4490634074,  3.9393924576
11000008791000, -1.2581976964, -1.8181426404,  3.8016393780
11000028939000, -1.2473067583, -2.0860493190,  3.4365726239
11000048786000, -1.1625672848, -2.2188046169,  2.8556748594
11000068769000, -0.9995388550, -2.1969083955,  2.0872523104
11000088766000, -0.7689304932, -2.0193550017,  1.1751721996
11000108789000, -0.4950804208, -1.7046789112,  0.1757582270
11000132313000, -0.2114653883, -1.2887505500, -0.8467460446
11000148824000,  0.0458761864, -0.8194263755, -1.8255850894
11000168773000,  0.2455510385, -0.3488332389, -2.6971514660
11000188763000,  0.3672224859,  0.0753905117, -3.4061443863
11000208788000,  0.4059795048,  0.4181384602, -3.9097213624
11000228938000,  0.3735855126,  0.6625648142, -4.1803723425
11000248793000,  0.2963659088,  0.8121719059, -4.2072699463
11000268771000,  0.2102977421,  0.8888352003, -3.9961728046
11000288766000,  0.1543348591,  0.9271023778, -3.5679915864
11000308791000,  0.1633866581,  0.9657141455, -2.9564566315
11000328946000,  0.2621876976,  1.0379124431, -2.2050951305
11000348791000,  0.4612753731,  1.1628608045, -1.3636289810
11000368766000,  0.7561349681,  1.3406083651, -0.4841947013
11000388768000,  1.1288729419,  1.5510937432,  0.3828796851
11000408791000,  1.5523034723,  1.7574837331,  1.1921523973
11000428936000,  1.9949703106,  1.9137168196,  1.9049284009
11000448793000,  2.4256720720,  1.9749313725,  2.4911936287
11000468768000,  2.8170068079,  1.9080723024,  2.9305863031
11000488769000,  3.1472822168,  1.7006403740,  3.2119152059
11000508803000,  3.4006115604,  1.3652219483,  3.3320558752
11000528936000,  3.5653772392,  0.9393537114,  3.2942934290
11000548791000,  3.6321896339,  0.4799445931,  3.1064436444
11000568768000,  3.5925141974,  0.0531397131,  2.7793894104
11000588768000,  3.4384919832, -0.2779488427,  2.3259373695
11000608791000,  3.1646827232, -0.4654731032,  1.7604825921
11000628939000,  2.7710345780, -0.4860435230,  1.0993820386
11000648948000,  2.2664050954, -0.3450204475,  0.3619502352
11000668769000,  1.6713299133, -0.0750570762, -0.4282126340
11000688761000,  1.0189596040,  0.2707322209, -1.2420583064
11000708788000,  0.3531517389,  0.6296315953, -2.0445786766
11000728931000, -0.2764232937,  0.9417536537, -2.7953442926
11000748791000, -0.8216925210,  1.1612993822, -3.4504029287
11000768769000, -1.2448923101,  1.2642454242, -3.9655605203
11000789061000, -1.5265065794,  1.2507026933, -4.3005528801
11000808809000, -1.6707003198,  1.1416877719, -4.4236430388
11000828776000, -1.7066068980,  0.9712738049, -4.3159630871
11000848788000, -1.6848045019,  0.7759894349, -3.9749668570
11000868771000, -1.6687712974,  0.5840262162, -3.4158472044
11000888763000, -1.7227502581,  0.4072913599, -2.6707961414
11000908789000, -1.8987722857,  0.2385855094, -1.7865273622
11000928934000, -2.2255258843,  0.0539698908, -0.8201337585
11000948786000, -2.7010578326, -0.1800286610,  0.1665324890
11000968764000, -3.2913896849, -0.4957899984,  1.1127368647
11000988758000, -3.9358479835, -0.9132541875,  1.9639543166
11001008793000, -4.5580705424, -1.4309930395,  2.6756618222
11001028934000, -5.0809179415, -2.0220132243,  3.2151751717
11001048786000, -5.4417098318, -2.6355008576,  3.5617119744
11001068763000, -5.6048967567, -3.2045383794,  3.7048887562
11001088758000, -5.5692200016, -3.6582311032,  3.6422182834
11001108788000, -5.3676378706, -3.9356243428,  3.3764558453
11001128933000, -5.0599175769, -3.9982601243,  2.9135612069
11001148804000, -4.7193201812, -3.8383454055,  2.2620545817
11001168763000, -4.4163083933, -3.4808143964,  1.4339553230
11001188769000, -4.2028879747, -2.9787594594,  0.4469011719
11001208789000, -4.1012980559, -2.4031819399, -0.6727772209
11001228938000, -4.0994760618, -1.8292874915, -1.8870197882
11001248791000, -4.1546684175, -1.3225857111, -3.1440479064
11001268769000, -4.2045910242, -0.9278275212, -4.3784568217
11001288766000, -4.1835704704, -0.6634672768, -5.5136479058
11001308788000, -4.0401367445, -0.5225425818, -6.4669192161
11001328933000, -3.7522186647, -0.4792932425, -7.1570870937
11001348796000, -3.3363043945, -0.4996254529, -7.5129328157
11001368766000, -2.8477315125, -0.5530305712, -7.4819595304
11001388766000, -2.3719178618, -0.6229545288, -7.0391354611
11001408793000, -2.0087346268, -0.7119446138, -6.1927878862
11001428924000, -1.8522479552, -0.8404267552, -4.9862476803
11001448796000, -1.9703871524, -1.0396246126, -3.4960227608
11001468768000, -2.3891595319, -1.3403659692, -1.8260929662
11001488761000, -3.0847192113, -1.7601626535, -0.0985800036
11001508788000, -3.9852358562, -2.2921231430,  1.5578799625
11001528916000, -4.9821162963, -2.8995618572,  3.0206984518
11001548789000, -5.9485767764, -3.5178733758,  4.1851026071
11001568774000, -6.7617608889, -4.0634729513,  4.9734534038
11001588763000, -7.3236676329, -4.4487748644,  5.3412209166
11001608789000, -7.5769456996, -4.5998605974,  5.2787524784
11001628919000, -7.5126076834, -4.4728044129,  4.8089877959
11001648946000, -7.1682481182, -4.0649967407,  3.9818579835
11001668766000, -6.6176824980, -3.4184495162,  2.8664442170
11001688758000, -5.9544529461, -2.6138709857,  1.5423464020
11001708791000, -5.2729880296, -1.7565379531,  0.0915913690
11001728913000, -4.6514485521, -0.9565648867, -1.4075696647
11001748791000, -4.1397238407, -0.3074025854, -2.8841368561
11001768769000, -3.7545427570,  0.1325223882, -4.2750090999
11001789356000, -3.4820123296,  0.3511284160, -5.5234255839
11001808794000, -3.2863821040,  0.3842891007, -6.5762004738
11001828769000, -3.1221925929,  0.3079458836, -7.3809394355
11001848788000, -2.9466769211,  0.2220018948, -7.8849583352
11001868764000, -2.7291417122,  0.2292218896, -8.0367413187
11001888763000, -2.4559716934,  0.4139616487, -7.7908842518
11001908788000, -2.1304895846,  0.8248594941, -7.1159166591
11001928928000, -1.7677506141,  1.4648757879, -6.0033910625
11001948796000, -1.3869704432,  2.2907478769, -4.4772143289
11001968768000, -1.0041046506,  3.2215295790, -2.6007645075
11001988759000, -0.6270202888,  4.1538463837, -0.4796369173
11002008789000, -0.2546419289,  4.9803140376,  1.7416014532
11002028923000,  0.1198467993,  5.6076399656,  3.8894419324
11002048794000,  0.5026653784,  5.9707401772,  5.7775413615
11002068771000,  0.8922853860,  6.0403418649,  7.2271711107
11002088769000,  1.2740198585,  5.8233589940,  8.0892825811
11002108793000,  1.6186204785,  5.3570633554,  8.2648227967
11002128893000,  1.8860293206,  4.6992423249,  7.7198339777
11002148789000,  2.0341400354,  3.9170363048,  6.4925324545
11002168759000,  2.0305829885,  3.0771811718,  4.6907567504
11002188768000,  1.8645146003,  2.2397025835,  2.4797736525
11002208791000,  1.5549278175,  1.4556518210,  0.0620861000
11002228918000,  1.1524158126,  0.7683288526, -2.3476808151
11002248796000,  0.7325967289,  0.2163743541, -4.5490281850
11002268768000,  0.3818189654, -0.1638535832, -6.3786379607
11002288761000,  0.1769114526, -0.3381161801, -7.7266457663
11002308786000,  0.1637905114, -0.2769055024, -8.5438369614
11002328919000,  0.3394894734,  0.0387865743, -8.8382513087
11002348794000,  0.6433368973,  0.6093078268, -8.6643018808
11002368769000,  0.9597763277,  1.4083852081, -8.1066144410
11002388764000,  1.1342502730,  2.3788650789, -7.2607578317
11002408789000,  1.0006633164,  3.4333526078, -6.2161281314
11002428939000,  0.4156093085,  4.4609263309, -5.0445760265
11002448796000, -0.7073324035,  5.3397260497, -3.7960004564
11002468769000, -2.3705905741,  5.9541799834, -2.5012373750
11002488764000, -4.4792812832,  6.2133075649, -1.1808355930
11002508794000, -6.8453878064,  6.0662135407,  0.1432729079
11002528914000, -9.2104865960,  5.5118174018,  1.4364575719
11002548798000,-11.2837026017,  4.6005646812,  2.6441794601
11002568933000,-12.7889421881,  3.4277160352,  3.6910208560
11002588759000,-13.5127233016,  2.1191508178,  4.4869906414
11002608791000,-13.3433480449,  0.8123198098,  4.9403275904
11002628921000,-12.2934898007, -0.3640379105,  4.9740997621
11002648958000,-10.5010562730, -1.3076168887,  4.5431211736
11002669111000, -8.2073843792, -1.9546145412,  3.6473024377
11002688758000, -5.7163920295, -2.2842565484,  2.3381424674
11002708788000, -3.3417399398, -2.3156863235,  0.7165393665
11002728921000, -1.3518731867, -2.0987658131, -1.0780813966
11002748786000,  0.0767142063, -1.7013264469, -2.8855049972
11002769286000,  0.8888739381, -1.1959641022, -4.5461675623
11002791386000,  1.1569880710, -0.6491991965, -5.9221739085
11002808794000,  1.0629031820, -0.1150570662, -6.9137099678
11002828689000,  0.8592294820,  0.3667290131, -7.4681223568
11002848788000,  0.8165221596,  0.7688147224, -7.5807130211
11002869471000,  1.1671231413,  1.0718866757, -7.2873498013
11002888763000,  2.0565860425,  1.2601247549, -6.6511925387
11002908786000,  3.5117185750,  1.3186211335, -5.7474215189
11002928918000,  5.4316257768,  1.2337176568, -4.6496349331
11002948789000,  7.6033896801,  0.9961126751, -3.4209237047
11002969653000,  9.7395461276,  0.6056096986, -2.1113608377
11002988763000, 11.5304334620,  0.0760418673, -0.7619022516
11003008786000, 12.7013033714, -0.5616647346,  0.5871267235
11003028924000, 13.0636286938, -1.2601132137,  1.8861071057
