t             ,x             ,y             ,z             
40124191913000,  0.3542323491,  0.0459942228, -0.5537440029
40124211900000,  0.2183860857,  0.1354983086, -0.5484717904
40124233125000,  0.0305954697,  0.1825323007, -0.4994338106
40124253268000, -0.1804469454,  0.1717610948, -0.4162240147
40124271858000, -0.3807402265,  0.1018640567, -0.3124042042
40124291857000, -0.5374134442, -0.0135188770, -0.2023318839
40124311845000, -0.6253452370, -0.1485921347, -0.0980668748
40124331852000, -0.6321913586, -0.2713810413, -0.0072236614
40124351847000, -0.5611214037, -0.3513507727,  0.0674819943
40124372432000, -0.4303989332, -0.3669078513,  0.1274923212
40124392033000, -0.2697514191, -0.3111225787,  0.1767375130
40124411852000, -0.1145831032, -0.1939575761,  0.2194337343
40124433447000,  0.0010996802, -0.0401941664,  0.2573327731
40124452375000,  0.0518232550,  0.1169625212,  0.2878368529
40124472093000,  0.0260325853,  0.2444631757,  0.3041031226
40124492047000, -0.0710132518,  0.3180607903,  0.2970380391
40124511865000, -0.2178353158,  0.3294352692,  0.2582579571
40124531833000, -0.3807184381,  0.2895404213,  0.1834019060
40124551852000, -0.5202161653,  0.2270566906,  0.0750447004
40124572225000, -0.5989009231,  0.1819611892, -0.0558303657
40124592278000, -0.5890159516,  0.1955537094, -0.1908926527
40124612070000, -0.4783015550,  0.2991905042, -0.3077554163
40124632155000, -0.2728938565,  0.5044063763, -0.3848316350
40124652422000,  0.0033650619,  0.7971555438, -0.4070440645
40124671882000,  0.3131154535,  1.1379602703, -0.3710147200
40124691997000,  0.6124763618,  1.4684757258, -0.2881525326
40124712355000,  0.8595535474,  1.7231977646, -0.1845761233
40124732095000,  1.0226989690,  1.8439392785, -0.0974277002
40124751780000,  1.0869459710,  1.7940454088, -0.0678483533
40124772117000,  1.0571881854,  1.5689204548, -0.1319155301
40124791952000,  0.9575178125,  1.2001427082, -0.3114481652
40124812512000,  0.8266344959,  0.7515797515, -0.6068111285
40124831997000,  0.7101748230,  0.3081609471, -0.9935460213
40124851845000,  0.6511973816, -0.0405480730, -1.4240722146
40124872063000,  0.6807038313, -0.2186869764, -1.8346858431
40124891958000,  0.8100144318, -0.1802185852, -2.1566852164
40124912680000,  1.0264429236,  0.0809277973, -2.3296612052
40124931987000,  1.2934605785,  0.5292099174, -2.3142567047
40124951847000,  1.5553990793,  1.0947871492, -2.1018233142
40124972050000,  1.7464305108,  1.6884922888, -1.7181703938
40124991970000,  1.8017281919,  2.2210324432, -1.2202872509
40125011782000,  1.6692781282,  2.6219708202, -0.6867207680
40125031998000,  1.3204029598,  2.8542287317, -0.2029744326
40125051850000,  0.7569524750,  2.9206973483,  0.1552414208
40125072037000,  0.0134782170,  2.8611159368,  0.3374795478
40125091840000, -0.8461828822,  2.7396219650,  0.3291613797
40125111858000, -1.7377703422,  2.6260368993,  0.1548330708
40125131997000, -2.5692715250,  2.5754773880, -0.1270258184
40125151852000, -3.2557344699,  2.6114594410, -0.4369449192
40125172053000, -3.7338152362,  2.7171125663, -0.6927162262
40125191838000, -3.9734346262,  2.8373143552, -0.8291600761
40125211850000, -3.9845045354,  2.8919636165, -0.8150153677
40125231998000, -3.8171794060,  2.7980249131, -0.6631403375
40125251845000, -3.5553137977,  2.4955154572, -0.4313038291
40125272042000, -3.3037386649,  1.9712449083, -0.2126938050
40125291840000, -3.1712040770,  1.2743288237, -0.1177968620
40125311852000, -3.2515847656,  0.5185014126, -0.2506910211
40125331998000, -3.6065102820, -0.1307249777, -0.6846633055
40125351978000, -4.2521595497, -0.4828693931, -1.4421943001
40125371833000, -5.1529888688, -0.3587066835, -2.4841455731
40125391817000, -6.2234942867,  0.3711799560, -3.7103508331
