t             ,x             ,y             ,z             
27384928981000,  0.0546590434, -0.1473365051,  0.1281871999
27384950709000,  0.0269015537, -0.1382601864,  0.1479478317
27384967596000, -0.0127213190, -0.1188191657,  0.1764647479
27384987292000, -0.0568653895, -0.0978108960,  0.2079767453
27385010784000, -0.0974724173, -0.0839752981,  0.2334556312
27385027301000, -0.1278412462, -0.0834784655,  0.2428545216
27385047381000, -0.1443636119, -0.0981078433,  0.2279062865
27385067369000, -0.1474393461, -0.1245755511,  0.1848190720
27385087377000, -0.1414896399, -0.1551781421,  0.1160718968
27385107781000, -0.1338345981, -0.1796998582,  0.0307478243
27385127364000, -0.1327907968, -0.1880494173, -0.0567497272
27385147334000, -0.1454156666, -0.1730519745, -0.1295168524
27385167554000, -0.1755694037, -0.1325994719, -0.1719426694
27385187597000, -0.2228385921, -0.0706076675, -0.1736774981
27385207851000, -0.2825735613,  0.0035388230, -0.1327919689
27385227312000, -0.3471411842,  0.0770405522, -0.0571927801
27385247292000, -0.4081376057,  0.1367388247,  0.0360786327
27385267321000, -0.4589511650,  0.1723982662,  0.1238731076
27385287366000, -0.4970112854,  0.1794507982,  0.1817280376
27385307359000, -0.5250616263,  0.1603841656,  0.1893291578
27385327309000, -0.5510291258,  0.1243346688,  0.1354572053
27385347296000, -0.5864434396,  0.0848585758,  0.0212650279
27385367317000, -0.6435973509,  0.0564114485, -0.1390165779
27385387469000, -0.7320136776,  0.0503281431, -0.3202361656
27385407319000, -0.8551862983,  0.0713463877, -0.4909570232
27385427304000, -1.0083766312,  0.1155340442, -0.6197965994
27385447276000, -1.1781923408,  0.1703936901, -0.6820016023
27385467316000, -1.3442597987,  0.2171552582, -0.6648796395
27385487464000, -1.4828457322,  0.2349319508, -0.5707941317
27385507302000, -1.5716623171,  0.2058303814, -0.4170135820
27385527304000, -1.5948303004,  0.1197908081, -0.2322658613
27385547344000, -1.5468518374, -0.0220438239, -0.0507989596
27385567317000, -1.4345545428, -0.2063897040,  0.0947715053
27385587471000, -1.2763766599, -0.4096876699,  0.1802960519
27385607474000, -1.0990428814, -0.6024549561,  0.1950856056
27385627302000, -0.9320827705, -0.7553146046,  0.1439459387
27385647291000, -0.8014338091, -0.8453662881,  0.0457299847
27385667319000, -0.7234977439, -0.8613966874, -0.0713132823
27385687474000, -0.7011083677, -0.8065929188, -0.1762598693
27385707322000, -0.7225438265, -0.6981053768, -0.2426987025
27385727306000, -0.7639391914, -0.5633252565, -0.2548290503
27385747444000, -0.7947520664, -0.4337439771, -0.2108636325
27385767316000, -0.7852751846, -0.3377347735, -0.1230508830
27385787471000, -0.7144841442, -0.2939607217, -0.0143331000
27385807322000, -0.5764292451, -0.3069678946,  0.0876969700
27385827302000, -0.3835102539, -0.3662128621,  0.1578768706
27385847347000, -0.1657244342, -0.4489868293,  0.1796138165
27385867321000,  0.0344478709, -0.5265443413,  0.1490693071
27385887314000,  0.1703509107, -0.5719092428,  0.0759916504
27385907316000,  0.2011871205, -0.5678167643, -0.0188802731
27385927304000,  0.1017140718, -0.5128830021, -0.1092982088
27385947442000, -0.1307534728, -0.4240909667, -0.1708271399
27385967317000, -0.4739354299, -0.3347454854, -0.1879582511
27385987467000, -0.8835764572, -0.2880037558, -0.1590826492
27386007322000, -1.3015897078, -0.3270493195, -0.0981639152
27386027306000, -1.6677487217, -0.4843099049, -0.0320841030
27386047439000, -1.9324391510, -0.7718230868,  0.0058746332
27386067324000, -2.0678336421, -1.1751621013, -0.0154781723
27386087462000, -2.0748408572, -1.6527923123, -0.1167288288
27386107321000, -1.9839822425, -2.1412955190, -0.3014973870
27386127302000, -1.8495482078, -2.5656278210, -0.5540385107
27386147464000, -1.7377044374, -2.8526621504, -0.8418602138
27386167319000, -1.7109575061, -2.9451833358, -1.1229812409
27386187462000, -1.8121470599, -2.8133965845, -1.3563704845
27386207319000, -2.0512636222, -2.4614156697, -1.5133491745
27386227301000, -2.3985641278, -1.9272307241, -1.5870118860
27386247442000, -2.7859775719, -1.2757341693, -1.5970551542
27386267316000, -3.1171926208, -0.5862197853, -1.5882890842
27386287494000, -3.2851592838,  0.0631454156, -1.6224693658
27386307326000, -3.1939175280,  0.6107831546, -1.7645042012
27386327296000, -2.7807095052,  1.0236550050, -2.0656659402
27386347291000, -2.0340249351,  1.3031752670, -2.5474180586
27386367349000, -1.0036195305,  1.4836629823, -3.1896020672
27386387326000,  0.2001423688,  1.6235638531, -3.9260555799
27386407332000,  1.4181468937,  1.7911513236, -4.6495017448
27386427286000,  2.4642409710,  2.0477855608, -5.2257399432
27386447291000,  3.1534103559,  2.4322416516, -5.5151622476
27386467314000,  3.3316788876,  2.9495651841, -5.3979122178
27386487462000,  2.9025986596,  3.5670980022, -4.7981409938
27386507317000,  1.8455421003,  4.2187133455, -3.7025377970
27386527296000,  0.2224181436,  4.8165504134, -2.1691685472
27386547289000, -1.8286244366,  5.2680567272, -0.3244442732
27386567316000, -4.1115763623,  5.4948896650,  1.6517338475
27386587456000, -6.4001369414,  5.4497400194,  3.5505630905
27386607479000, -8.4697813375,  5.1275627395,  5.1645283619
27386627301000,-10.1290082997,  4.5689467859,  6.3178098358
27386647289000,-11.2447937671,  3.8546523396,  6.8917315406
27386667317000,-11.7582570332,  3.0921725323,  6.8408442444
27386687456000,-11.6883045994,  2.3969635110,  6.1969580960
