t             ,x             ,y             ,z             
11243790827000,  0.0522624537, -0.1640822511,  0.2734897681
11243808114000,  0.0749117531, -0.2087317664,  0.2608534914
11243830626000,  0.0848722335, -0.2409446783,  0.2279896710
11243848137000,  0.0812748949, -0.2576874957,  0.1783584260
11243868107000,  0.0667505674, -0.2593101260,  0.1166535250
11243888111000,  0.0463907978, -0.2492843004,  0.0473467788
11243908039000,  0.0264886144, -0.2330825709, -0.0262455141
11243928687000,  0.0128277887, -0.2166462356, -0.1021285456
11243948162000,  0.0092281865, -0.2046872372, -0.1795265368
11243969067000,  0.0165446813, -0.1992432688, -0.2582522428
11243989226000,  0.0323834600, -0.1992721869, -0.3379169955
11244008101000,  0.0520247381, -0.2012404788, -0.4167312260
11244028139000,  0.0697492390, -0.2006223934, -0.4912117894
11244048336000,  0.0805711335, -0.1938153583, -0.5562307892
11244068182000,  0.0818379933, -0.1802224501, -0.6053928770
11244088177000,  0.0743020067, -0.1635942322, -0.6319310107
11244108336000,  0.0620596429, -0.1524275712, -0.6299425832
11244128164000,  0.0514679141, -0.1590683602, -0.5957316904
11244149964000,  0.0492264998, -0.1972524697, -0.5289377914
11244168537000,  0.0600282145, -0.2786922527, -0.4331288589
11244188117000,  0.0845063014, -0.4093534411, -0.3155889187
11244208972000,  0.1180177734, -0.5863750416, -0.1865277998
11244228146000,  0.1506916166, -0.7965043084, -0.0577638455
11244248466000,  0.1692095483, -1.0165203768,  0.0588218713
11244268154000,  0.1597762632, -1.2161079468,  0.1528323001
11244288166000,  0.1117750296, -1.3627229922,  0.2167935425
11244308087000,  0.0214422812, -1.4277295604,  0.2471100220
11244328454000, -0.1056994837, -1.3923750772,  0.2442443443
11244348206000, -0.2544388143, -1.2523114393,  0.2123340313
11244368091000, -0.4014685300, -1.0196126170,  0.1584242812
11244388109000, -0.5188728034, -0.7216667814,  0.0911600214
11244408114000, -0.5795487136, -0.3968802441,  0.0196146626
11244428074000, -0.5632248295, -0.0878843547, -0.0478586907
11244448102000, -0.4616594666,  0.1667258957, -0.1044565648
11244468087000, -0.2817538296,  0.3403855873, -0.1454649638
11244488101000, -0.0454532222,  0.4242294867, -0.1683517534
11244508094000,  0.2135470705,  0.4291009910, -0.1726945176
11244528076000,  0.4557723125,  0.3834891013, -0.1597674018
11244548104000,  0.6436312439,  0.3272643371, -0.1319746951
11244568087000,  0.7499137633,  0.3026140762, -0.0924896948
