t             ,x             ,y             ,z             
22431908133000,  0.0804300053,  0.0905095661, -0.2501225554
22431927983000,  0.0372125557,  0.0835829959, -0.2540396027
22431947924000, -0.0374299695,  0.0775740083, -0.2089632828
22431967968000, -0.1352743947,  0.0707657920, -0.1162419970
22431987979000, -0.2442762816,  0.0586965225,  0.0116205459
22432008101000, -0.3513802690,  0.0355418379,  0.1528056822
22432028004000, -0.4453933957, -0.0044308331,  0.2801699944
22432047978000, -0.5196021785, -0.0648096126,  0.3666848118
22432067963000, -0.5728383798, -0.1450791273,  0.3922050742
22432087953000, -0.6088575340, -0.2395482026,  0.3482989669
22432107948000, -0.6348325786, -0.3375215686,  0.2408938730
22432127953000, -0.6582331138, -0.4247684527,  0.0901120038
22432147923000, -0.6843175409, -0.4861168333, -0.0724591612
22432167949000, -0.7131740897, -0.5088870412, -0.2107767172
22432188106000, -0.7393887297, -0.4856677077, -0.2914213757
22432207951000, -0.7529201389, -0.4171601544, -0.2921087869
22432227931000, -0.7417183645, -0.3131902341, -0.2057477647
22432251184000, -0.6958138199, -0.1912529212, -0.0438025403
22432267961000, -0.6110303975, -0.0739961969,  0.1650002945
22432287951000, -0.4921530541,  0.0150436112,  0.3801853604
22432307946000, -0.3534756726,  0.0560190679,  0.5567104577
22432327934000, -0.2179536232,  0.0364843166,  0.6550325220
22432347926000, -0.1127383085, -0.0452683961,  0.6487190319
22432367973000, -0.0627520586, -0.1802870118,  0.5298885855
22432388116000, -0.0844500827, -0.3513501490,  0.3115365504
22432407956000, -0.1799278482, -0.5360670805,  0.0257924378
22432427933000, -0.3332173111, -0.7128207436, -0.2825488315
22432448123000, -0.5103805987, -0.8665560578, -0.5646270249
22432468093000, -0.6640880350, -0.9928669532, -0.7763937312
22432488126000, -0.7410641603, -1.0993054062, -0.8869822229
22432507953000, -0.6927156267, -1.2050655154, -0.8842750747
22432527933000, -0.4852603385, -1.3370101533, -0.7754324072
22432547929000, -0.1093508767, -1.5229847679, -0.5862179391
22432567954000,  0.4148444134, -1.7854582354, -0.3537616059
22432588108000,  1.0374278215, -2.1341856222, -0.1190280486
22432608118000,  1.6839596845, -2.5615763154,  0.0816915245
22432627934000,  2.2657604318, -3.0407064025,  0.2233917070
22432647918000,  2.6937774601, -3.5281336431,  0.2957190329
22432667949000,  2.8930915909, -3.9697797444,  0.3032861781
22432688106000,  2.8162161686, -4.3095523173,  0.2627338364
22432708133000,  2.4518180865, -4.4993095514,  0.1973168144
22432728098000,  1.8277277513, -4.5073280571,  0.1302449689
22432747929000,  1.0073525331, -4.3254283228,  0.0787549094
22432767949000,  0.0800871129, -3.9710019071,  0.0500052965
22432788116000, -0.8519711425, -3.4852993050,  0.0397335738
22432807954000, -1.6897088494, -2.9269457902,  0.0340584632
22432827933000, -2.3516043450, -2.3623043054,  0.0135449034
22432847928000, -2.7846637722, -1.8548433051, -0.0412510767
22432867956000, -2.9706019972, -1.4541977135, -0.1442039769
22432888103000, -2.9248981651, -1.1890369722, -0.2995026621
22432907951000, -2.6913700151, -1.0625120153, -0.4997538674
22432927926000, -2.3321621598, -1.0528633275, -0.7266566774
22432947931000, -1.9149154345, -1.1190049454, -0.9545536463
22432967954000, -1.5016805709, -1.2083897784, -1.1552920278
22432988111000, -1.1394404810, -1.2673240016, -1.3037792741
22433007979000, -0.8548372696, -1.2506358164, -1.3826307568
22433027934000, -0.6536834486, -1.1298295057, -1.3854098783
22433047929000, -0.5240233636, -0.8974846584, -1.3171230596
22433067954000, -0.4426246411, -0.5676434673, -1.1927852080
