t             ,x             ,y             ,z             
13508095398000,  1.8161849855,  0.1037335282,  1.6313262550
13508116522000,  2.4931639628,  0.2169466660,  2.0048488722
13508133030000,  3.0501590115,  0.3449354798,  2.1860381822
13508160707000,  3.4051569250,  0.4672883891,  2.1110858771
13508172997000,  3.5013696602,  0.5617151238,  1.7513574683
13508193028000,  3.3171203855,  0.6083363443,  1.1214239033
13508213063000,  2.8697609664,  0.5937143510,  0.2794616531
13508233010000,  2.2128506305,  0.5137355449, -0.6804179086
13508253302000,  1.4271161811,  0.3746783245, -1.6427184735
13508273023000,  0.6069062278,  0.1921821775, -2.4893587888
13508293048000, -0.1552969701, -0.0117084296, -3.1191635348
13508313058000, -0.7834068100, -0.2128215629, -3.4642788946
13508333053000, -1.2286435511, -0.3895500771, -3.5003250862
13508353015000, -1.4749356962, -0.5269489275, -3.2483548970
13508373192000, -1.5380502682, -0.6193521467, -2.7683642999
13508393025000, -1.4589476587, -0.6709507818, -2.1458432449
13508413067000, -1.2929803106, -0.6942295105, -1.4742857492
13508433018000, -1.0973163536, -0.7066416637, -0.8373848435
13508453527000, -0.9192203697, -0.7262983090, -0.2946393597
13508473050000, -0.7875244318, -0.7676640205,  0.1267088093
13508493062000, -0.7088504930, -0.8382381999,  0.4319318117
13508513222000, -0.6690752259, -0.9369585683,  0.6515530127
13508534245000, -0.6393945953, -1.0546492536,  0.8285367337
13508553077000, -0.5853897989, -1.1763477787,  1.0031373872
13508574812000, -0.4769166837, -1.2848998135,  1.1991168925
13508596213000, -0.2965498592, -1.3649150994,  1.4146920668
13508613127000, -0.0447152619, -1.4061044459,  1.6204515895
13508633010000,  0.2595605585, -1.4051847901,  1.7648363117
13508653077000,  0.5823528858, -1.3659069366,  1.7859802676
13508673052000,  0.8820728178, -1.2972389354,  1.6271745801
13508693012000,  1.1185526780, -1.2102086439,  1.2522996948
13508713022000,  1.2619302657, -1.1142535255,  0.6574933493
13508733205000,  1.2993644247, -1.0140552714, -0.1238864211
13508753018000,  1.2381257981, -0.9077147187, -1.0244500447
13508773052000,  1.1044212783, -0.7867748634, -1.9536996037
13508793073000,  0.9382430595, -0.6381105789, -2.8144573007
13508813188000,  0.7853777751, -0.4471957027, -3.5212290068
13508833045000,  0.6882877535, -0.2018633675, -4.0163813469
13508853077000,  0.6777688429,  0.1044979966, -4.2803941079
13508873105000,  0.7670689136,  0.4712664357, -4.3337027501
13508893017000,  0.9495803614,  0.8910100038, -4.2295042959
13508913025000,  1.2004352135,  1.3520421358, -4.0389566383
13508933182000,  1.4815108678,  1.8425334234, -3.8319953115
13508953022000,  1.7486769438,  2.3551015303, -3.6581108525
13508972992000,  1.9597192412,  2.8905394953, -3.5316041888
13508992990000,  2.0813370582,  3.4594101403, -3.4250022223
13509012993000,  2.0939150845,  4.0806426600, -3.2726292452
13509033167000,  1.9933346437,  4.7769451217, -2.9841419383
13509053022000,  1.7897714812,  5.5676504982, -2.4656137266
13509073000000,  1.5040691475,  6.4603591224, -1.6439816934
13509092987000,  1.1627362891,  7.4432418575, -0.4897402170
13509113018000,  0.7928000976,  8.4799839276,  0.9671021617
13509133168000,  0.4176327352,  9.5090167780,  2.6315997277
13509153012000,  0.0545001811, 10.4479409946,  4.3507695906
13509173000000, -0.2859313610, 11.2030203400,  5.9321832548
13509192992000, -0.5984221146, 11.6825306306,  7.1712831178
13509213020000, -0.8810138319, 11.8118127106,  7.8826884488
13509233157000, -1.1327950987, 11.5473204013,  7.9299148581
13509253008000, -1.3523871536, 10.8869166554,  7.2481858581
13509273262000, -1.5376584842,  9.8741940945,  5.8563035163
13509292987000, -1.6867300682,  8.5956013409,  3.8555938671
13509313018000, -1.7998658778,  7.1704596354,  1.4163271680
13509333173000, -1.8814850291,  5.7353003483, -1.2457498996
13509353165000, -1.9413865556,  4.4250700779, -3.8984822328
13509372992000, -1.9943965344,  3.3544024619, -6.3229257960
13509392992000, -2.0580150067,  2.6022009466, -8.3387078190
13509413015000, -2.1481768449,  2.2021933362, -9.8214520291
13509433155000, -2.2738190160,  2.1410149243,-10.7103433303
13509453007000, -2.4314208170,  2.3639688632,-11.0058766430
13509473003000, -2.6009237544,  2.7871809833,-10.7596075423
13509492988000, -2.7443614695,  3.3136985159,-10.0589485845
13509513033000, -2.8081243239,  3.8504111596, -9.0105259852
13509533175000, -2.7291104684,  4.3226290046, -7.7252962796
13509553018000, -2.4442032373,  4.6837354279, -6.3076664421
13509573027000, -1.9017311255,  4.9184151867, -4.8495408147
13509593027000, -1.0729837235,  5.0393079995, -3.4288732404
13509613025000,  0.0383856290,  5.0782731211, -2.1112528163
13509633002000,  1.3910665801,  5.0744958227, -0.9525239998
13509652988000,  2.9063224575,  5.0622129604, -0.0005228514
13509673003000,  4.4742611836,  5.0607814971,  0.7053669192
13509693982000,  5.9656075737,  5.0691887279,  1.1371704591
13509713020000,  7.2474237854,  5.0660538775,  1.2830930538
13509733160000,  8.2004471699,  5.0149317838,  1.1525950483
13509753010000,  8.7353295504,  4.8735692631,  0.7798828449
13509773593000,  8.8051521428,  4.6049287136,  0.2240935375
13509792993000,  8.4121493851,  4.1874514758, -0.4348771951
13509813033000,  7.6075071260,  3.6222453997, -1.1049387847
13509833155000,  6.4842391045,  2.9355868911, -1.6936879973
13509853003000,  5.1642846959,  2.1761631805, -2.1216132418
13509873763000,  3.7819053754,  1.4076153116, -2.3341210830
13509894038000,  2.4660218956,  0.6979311988, -2.3099387551
13509912975000,  1.3242340848,  0.1078741318, -2.0640631784
13509932967000,  0.4308930768, -0.3192098803, -1.6444797276
