t             ,x             ,y             ,z             
40678640596000,  0.2115286549, -0.0699951863,  0.2281827801
40678660442000,  0.3080894229, -0.1527355673,  0.1693848998
40678680729000,  0.3533855958, -0.1906362814,  0.0608193142
40678714051000,  0.3122616202, -0.1662077164, -0.0856965775
40678720716000,  0.1594595711, -0.0735030986, -0.2532750269
40678740329000, -0.1128700508,  0.0798329266, -0.4238048649
40678760421000, -0.4902803822,  0.2730828513, -0.5817488836
40678780462000, -0.9347652153,  0.4755209673, -0.7167411290
40678801021000, -1.3880362501,  0.6514459217, -0.8246647918
40678820439000, -1.7790718876,  0.7663077792, -0.9066045729
40678840431000, -2.0345529992,  0.7925921672, -0.9662293610
40678860441000, -2.0907960798,  0.7142217929, -1.0065205759
40678880472000, -1.9048316260,  0.5287762627, -1.0269807956
40678900491000, -1.4623607695,  0.2474149240, -1.0219771480
40678920579000, -0.7812693846, -0.1075670330, -0.9810738313
40678940414000,  0.0899995528, -0.5066707389, -0.8915080173
40678960481000,  1.0791017152, -0.9176488417, -0.7422028835
40678980427000,  2.1002309462, -1.3096588682, -0.5284684150
40679000509000,  3.0665431712, -1.6564368803, -0.2561953205
40679021069000,  3.9021859432, -1.9380526010,  0.0557798298
40679040407000,  4.5519102318, -2.1412709326,  0.3761855532
40679060419000,  4.9865923454, -2.2588951017,  0.6650078922
40679080377000,  5.2040651129, -2.2885688776,  0.8799608199
40679100412000,  5.2253980479, -2.2317593464,  0.9845793264
40679120337000,  5.0877946874, -2.0932406601,  0.9562629952
40679140326000,  4.8358309329, -1.8812589341,  0.7924290798
40679160342000,  4.5129249297, -1.6081574627,  0.5131964796
40679180346000,  4.1545496535, -1.2910441068,  0.1596474610
40679201752000,  3.7845264435, -0.9518378571, -0.2123847795
40679220424000,  3.4146179744, -0.6162469483, -0.5419125031
40679240412000,  3.0468182516, -0.3115251311, -0.7740288525
40679260334000,  2.6777472289, -0.0629304267, -0.8705174860
40679280344000,  2.3036090879,  0.1103662996, -0.8176965183
40679301967000,  1.9238138170,  0.1986472004, -0.6292804641
40679320402000,  1.5427583047,  0.2039800581, -0.3441005833
40679340322000,  1.1696850277,  0.1407838155, -0.0190583671
40679360359000,  0.8166564154,  0.0339013986,  0.2816880389
40679380347000,  0.4949758989, -0.0855343317,  0.4996237385
40679401846000,  0.2117413112, -0.1858071892,  0.5931949491
40679420371000, -0.0320356660, -0.2407868275,  0.5453165521
40679440319000, -0.2415679405, -0.2350423904,  0.3658568608
40679460506000, -0.4267774657, -0.1669147162,  0.0887106190
40679480339000, -0.5990437260, -0.0487471758, -0.2359077703
40679501719000, -0.7673460873,  0.0961377915, -0.5521750229
40679520369000, -0.9348699747,  0.2389307396, -0.8100198811
40679540322000, -1.0972096549,  0.3520519980, -0.9746143589
40679560339000, -1.2427790421,  0.4157079286, -1.0320867057
40679580344000, -1.3555433227,  0.4225798399, -0.9901905630
40679601724000, -1.4194720950,  0.3794357572, -0.8742462142
40679620382000, -1.4234763606,  0.3052865504, -0.7196262969
40679640322000, -1.3655907680,  0.2264780095, -0.5625758170
40679660342000, -1.2550922936,  0.1696669512, -0.4317600528
40679680349000, -1.1115867283,  0.1544681340, -0.3425258535
40679701757000, -0.9610743482,  0.1876102352, -0.2951553732
40679720379000, -0.8298485863,  0.2601103170, -0.2772142166
40679740321000, -0.7375362778,  0.3483992073, -0.2691690322
40679760339000, -0.6910807605,  0.4192944919, -0.2517062696
40679780344000, -0.6814444595,  0.4378329673, -0.2124551116
40679801697000, -0.6842700546,  0.3761330841, -0.1502834404
40679820369000, -0.6647355966,  0.2211384619, -0.0758612956
40679840324000, -0.5858388337, -0.0206564759, -0.0081116329
40679861659000, -0.4184700380, -0.3227880652,  0.0322166536
40679880442000, -0.1512490523, -0.6432556912,  0.0301369860
40679900486000,  0.2026860227, -0.9328698095, -0.0169172000
40679920446000,  0.6042374449, -1.1460669195, -0.0953574808
40679940402000,  0.9926738883, -1.2513557177, -0.1763451585
40679960691000,  1.2959030209, -1.2387661745, -0.2214265522
40679980351000,  1.4448351411, -1.1227935805, -0.1920833088
40680000576000,  1.3889539679, -0.9396053711, -0.0610460047
40680020339000,  1.1099015682, -0.7388755520,  0.1777372315
40680040324000,  0.6299152312, -0.5720342600,  0.5029659404
40680060339000,  0.0127492576, -0.4794336453,  0.8658896291
40680080321000, -0.6439225826, -0.4794472379,  1.1970772487
40680102037000, -1.2237606718, -0.5623824149,  1.4192821320
40680120386000, -1.6119805626, -0.6909216343,  1.4637952278
40680140329000, -1.7168936206, -0.8075471498,  1.2869030831
40680160341000, -1.4886237823, -0.8476100596,  0.8828151449
40680185724000, -0.9310558248, -0.7553802847,  0.2895773415
40680201859000, -0.1043490829, -0.4995389914, -0.4138984646
40680220366000,  0.8827756886, -0.0844915255, -1.1198313951
40680243191000,  1.8899277380,  0.4454845623, -1.7107474073
40680260401000,  2.7682513581,  1.0107068950, -2.0823450571
40680280346000,  3.3855757010,  1.5088652424, -2.1654335719
40680301731000,  3.6488280012,  1.8338336944, -1.9423789123
40680320376000,  3.5193662175,  1.8968073060, -1.4544049387
40680340306000,  3.0185221902,  1.6453525424, -0.7977437727
40680360344000,  2.2220916935,  1.0760338117, -0.1089278143
40680380351000,  1.2451388830,  0.2378928070,  0.4584326736
40680401711000,  0.2203069720, -0.7745448181,  0.7608424085
40680420381000, -0.7263715744, -1.8380886690,  0.6913030178
40680440332000, -1.4981295158, -2.8246621860,  0.1998827491
40680460416000, -2.0431909895, -3.6263297931, -0.6960996629
40680480359000, -2.3610465209, -4.1769305728, -1.9139780475
40680500369000, -2.4993127876, -4.4656514659, -3.3181947142
40680520336000, -2.5413342214, -4.5396738938, -4.7417430268
40680540322000, -2.5870392926, -4.4943600384, -6.0126313407
40680560332000, -2.7311023969, -4.4527752845, -6.9802542638
40680580347000, -3.0432010291, -4.5385287414, -7.5368502393
40680601781000, -3.5539228338, -4.8471705692, -7.6304515584
40680620394000, -4.2484163051, -5.4218522419, -7.2677094072
40680640347000, -5.0690823500, -6.2384162741, -6.5070820337
40680660351000, -5.9262334470, -7.2035537433, -5.4445916891
40680680361000, -6.7143799910, -8.1667812223, -4.1956197789
40680700556000, -7.3308255399, -8.9444319463, -2.8766606129
40680720352000, -7.6932060141, -9.3516265729, -1.5903361037
40680740561000, -7.7526293247, -9.2363404274, -0.4159473252
40680760351000, -7.5004577030, -8.5092106758,  0.5935860344
40680780344000, -6.9679626063, -7.1635066629,  1.4092382843
40680805169000, -6.2193054892, -5.2814846330,  2.0198603402
40680820352000, -5.3395835464, -3.0258628197,  2.4251248747
40680840719000, -4.4203659648, -0.6176286118,  2.6297697609
40680860936000, -3.5455678012,  1.6959116221,  2.6409039651
40680880344000, -2.7797995594,  3.6773750988,  2.4687220404
40680901809000, -2.1610577164,  5.1336700228,  2.1297894483
40680920369000, -1.6985155777,  5.9428171315,  1.6512683537
40680940932000, -1.3750920934,  6.0690843442,  1.0741018162
40680960552000, -1.1538528568,  5.5646022381,  0.4530114526
40680980361000, -0.9873953959,  4.5576831002, -0.1479706476
40681001759000, -0.8278205401,  3.2305123787, -0.6634390425
40681020369000, -0.6358013631,  1.7903946034, -1.0373074035
40681040659000, -0.3875960712,  0.4397818768, -1.2339204316
40681060557000, -0.0789679999, -0.6503465452, -1.2470551984
40681080349000,  0.2741254381, -1.3598724827, -1.1045271935
40681101711000,  0.6379267643, -1.6295819665, -0.8665017240
40681120352000,  0.9663466735, -1.4613470226, -0.6172372934
40681140827000,  1.2081943686, -0.9094397161, -0.4514750557
40681160557000,  1.3151870173, -0.0655911703, -0.4577149606
40681180362000,  1.2498716219,  0.9589658502, -0.7014752016
40681201697000,  0.9923510851,  2.0512581672, -1.2120271687
40681220421000,  0.5448074712,  3.1113417216, -1.9751703204
40681240407000, -0.0669571097,  4.0623406778, -2.9334533034
40681260362000, -0.7952117036,  4.8550986244, -3.9938398885
40681280329000, -1.5753092876,  5.4677737085, -5.0413404452
40681300369000, -2.3334716086,  5.9014929976, -5.9559785178
40681320337000, -2.9963146826,  6.1735622315, -6.6299954182
40681340274000, -3.5007335251,  6.3100780991, -6.9822614484
40681360374000, -3.8026351830,  6.3392451184, -6.9675830710
40681380346000, -3.8829975697,  6.2863166209, -6.5798792959
40681401746000, -3.7501108160,  6.1706903226, -5.8493376379
40681420354000, -3.4374843387,  6.0050218393, -4.8350099649
40681440346000, -2.9978260628,  5.7958985954, -3.6149284557
40681460562000, -2.4937530608,  5.5456431801, -2.2757979973
40681480564000, -1.9867612144,  5.2546097466, -0.9043140709
40681501914000, -1.5268033322,  4.9231614785,  0.4190628119
40681520362000, -1.1450110679,  4.5529060279,  1.6236016080
40681540341000, -0.8499670855,  4.1476027182,  2.6493493829
40681560554000, -0.6284743860,  3.7136392777,  3.4470274740
40681580349000, -0.4515144044,  3.2599101278,  3.9790787635
40681601727000, -0.2835619988,  2.7971533080,  4.2216996460
40681620374000, -0.0927992821,  2.3370178179,  4.1676963750
40681640342000,  0.1397760231,  1.8908118305,  3.8297456154
40681660556000,  0.4139206968,  1.4681782364,  3.2430276495
40681680357000,  0.7083385719,  1.0756845041,  2.4656463090
40681701692000,  0.9840839111,  0.7157157384,  1.5756106513
40681720347000,  1.1924731517,  0.3858853819,  0.6637397212
40681740339000,  1.2857635586,  0.0789917320, -0.1770399412
40681760549000,  1.2284115368, -0.2160996372, -0.8645649223
40681780354000,  1.0061547535, -0.5127233282, -1.3400668381
40681801691000,  0.6308392966, -0.8240502440, -1.5778823329
40681820372000,  0.1398208290, -1.1602648256, -1.5900232841
40681840344000, -0.4100836921, -1.5258081486, -1.4241809195
40681860551000, -0.9530842837, -1.9172388572, -1.1550364698
40681880369000, -1.4269244053, -2.3222249794, -0.8699587981
40681901706000, -1.7847925309, -2.7201539739, -0.6518585044
40681920349000, -2.0040332535, -3.0841738278, -0.5626648482
40681940339000, -2.0897502563, -3.3846907785, -0.6307129743
40681960554000, -2.0724264473, -3.5937654172, -0.8449567680
40681980354000, -2.0001429174, -3.6897320829, -1.1574906600
40682001897000, -1.9272284547, -3.6610482952, -1.4939985225
40682020354000, -1.9017591764, -3.5088766803, -1.7698012501
40682040341000, -1.9544991282, -3.2475358327, -1.9084751945
40682060562000, -2.0926465053, -2.9027176799, -1.8592335373
40682080334000, -2.2991890390, -2.5076505442, -1.6088334190
40682101716000, -2.5375594527, -2.0981687318, -1.1853536354
40682120372000, -2.7609966149, -1.7071786754, -0.6531396255
40682140346000, -2.9240716293, -1.3596052751, -0.0999660261
40682160556000, -2.9934496292, -1.0688191818,  0.3807490134
40682180354000, -2.9557785388, -0.8354458688,  0.7089835779
40682201702000, -2.8205014351, -0.6485249368,  0.8344654283
40682221869000, -2.6169309251, -0.4891762517,  0.7463659618
40682240417000, -2.3863768639, -0.3356606471,  0.4744447009
40682260416000, -2.1716629097, -0.1689292462,  0.0817799336
40682280331000, -2.0065530640,  0.0224248326, -0.3494531718
40682301792000, -1.9076544975,  0.2387090274, -0.7359813308
40682320351000, -1.8709143893,  0.4679270064, -1.0110593330
40682340336000, -1.8737081794,  0.6872886869, -1.1377760983
40682360561000, -1.8820729989,  0.8671915151, -1.1150752905
40682380356000, -1.8610878120,  0.9769384673, -0.9754081470
40682401734000, -1.7857511396,  0.9913048232, -0.7746629818
40682420369000, -1.6493268309,  0.8965305403, -0.5767519843
40682440341000, -1.4666402198,  0.6946588909, -0.4366898921
40682460547000, -1.2711603326,  0.4052197814, -0.3861392182
40682480569000, -1.1061776249,  0.0639426065, -0.4248791892
40682501887000, -1.0120230408, -0.2816890620, -0.5203073305
40682520367000, -1.0124393716, -0.5792070328, -0.6149947165
40682540342000, -1.1033880173, -0.7791009535, -0.6406896199
40682560567000, -1.2477333269, -0.8427913120, -0.5357203721
40682580346000, -1.3779086761, -0.7496934638, -0.2610702352
40682601709000, -1.4073943696, -0.5013623235,  0.1878486464
40682620351000, -1.2480332015, -0.1222489150,  0.7764413274
40682640346000, -0.8302580620,  0.3433255364,  1.4347254654
40682660549000, -0.1224366265,  0.8373780543,  2.0695773936
40682680359000,  0.8557865081,  1.2966613355,  2.5822183735
40682701736000,  2.0301102162,  1.6620584176,  2.8868492325
40682720371000,  3.2794267313,  1.8872302245,  2.9266987134
40682740341000,  4.4537674591,  1.9450575062,  2.6839313478
40682760554000,  5.3995997844,  1.8308666712,  2.1815889741
40682780366000,  5.9878738168,  1.5619521756,  1.4772890062
40682801711000,  6.1388433421,  1.1734503110,  0.6502387183
40682820379000,  5.8384352249,  0.7112294176, -0.2153568390
40682840349000,  5.1425492455,  0.2232837340, -1.0465654109
40682860839000,  4.1676288231, -0.2489870903, -1.7938895889
40682880427000,  3.0691811231, -0.6778672627, -2.4366864540
40682900424000,  2.0122403180, -1.0533582688, -2.9808191458
40682920342000,  1.1394068265, -1.3834455506, -3.4493014686
40682940359000,  0.5431762400, -1.6904729143, -3.8685565028
40682960881000,  0.2484885987, -2.0044050401, -4.2538987014
40682980511000,  0.2090072015, -2.3542287144, -4.5980373263
40683001781000,  0.3183024235, -2.7592274326, -4.8658714503
40683020381000,  0.4337798747, -3.2219524450, -4.9973553698
40683040361000,  0.4087430361, -3.7243712378, -4.9184476558
40683060567000,  0.1258817698, -4.2281178243, -4.5580841026
40683080474000, -0.4745373516, -4.6790864976, -3.8674484348
40683101737000, -1.3777542352, -5.0156124948, -2.8372872449
40683120382000, -2.4929539188, -5.1789158121, -1.5094223053
40683140357000, -3.6675762582, -5.1236185076,  0.0210562091
40683160576000, -4.7144516718, -4.8268440972,  1.6143846144
40683180487000, -5.4469114334, -4.2939551446,  3.1042125500
40683201732000, -5.7145891052, -3.5596322382,  4.3223425861
40683220366000, -5.4331343495, -2.6841271374,  5.1254732986
40683240356000, -4.6020353634, -1.7454731255,  5.4191002345
40683260564000, -3.3066221497, -0.8286753918,  5.1739599408
40683280609000, -1.7040536879, -0.0138610038,  4.4318075521
