-2.1733,0.52808,0.013571,0.83209,-0.5035,-0.99826,-1.006,-0.050667,1.2478,-0.21589
-1.1176,0.033544,-0.1934,0.5896,-0.3991,0.13653,-0.4894,-1.2294,0.6254,-0.7786
-0.17856,-0.49531,0.9002,-0.18207,-0.086377,0.52418,0.090737,0.44134,0.7635,-0.77233
-0.0065642,-0.31092,0.83008,0.22619,0.36454,-0.085476,-0.37998,0.11809,0.91501,-0.29434
-0.45299,-0.55582,0.82343,0.19638,-0.41251,0.39021,-0.6579,0.054837,0.1478,-0.67158
-0.15904,0.34566,0.1216,0.29082,-1.1562,-0.15713,0.44693,-0.52229,0.41924,0.031252
-1.7483,-0.1462,0.25565,-0.42526,-0.12885,-0.78819,2.7617,-1.9492,0.3577,-0.55813
-0.086296,-1.1023,0.15111,0.74589,-0.61845,-0.60641,1.178,-0.10793,-0.79743,-1.2753
0.36146,-0.39897,0.34123,0.68754,0.80105,0.55387,0.15311,-2.1561,-0.088253,-1.3057
0.26355,-0.098886,-0.57622,1.0716,-0.55259,-0.038679,-0.037172,0.34951,0.29525,0.36604
0.40881,0.72132,-0.31855,1.8264,-2.7321,-0.10247,0.95187,-0.2971,-0.91759,-1.0221
0.36233,1.9178,0.23129,0.15543,-2.0443,0.13435,-0.48802,-0.20071,0.50047,-1.5908
0.090935,0.94692,-1.0593,2.6757,-5.0538,-2.147,1.7235,-0.2363,0.3822,-0.7577
1.4961,0.7776,-0.054965,1.7353,-1.6449,0.39308,0.12753,-1.7582,-0.14072,0.042159
-2.2074,1.8322,0.9729,2.2818,-2.1307,0.43323,2.0567,-0.91882,2.8504,-2.0803
0.11378,1.1292,0.51472,0.20716,1.0733,1.1555,2.284,-2.1541,0.06044,-0.47354
-0.76081,1.496,1.1981,0.66488,-0.08665,0.73809,-0.23419,0.60286,-0.13425,-1.2046
0.013037,1.6199,1.1149,0.9088,-1.0454,0.48976,0.65618,-1.0156,-1.3021,-0.78766
-1.1074,2.6089,-0.72335,-0.37012,-0.92699,-0.77547,0.14817,-0.44496,-0.39111,0.74641
-0.37992,2.0574,-0.48219,0.057499,0.074388,-1.0663,-0.35899,0.53457,0.088965,-0.41169
