-5.8166,-1.1959,4.414,0.31347,-4.3366,-0.60737,0.99071,-0.24963,-0.56548,8.8845,1.4128,7.5148,8.2048,0.71178,0.10115,-6.6686,-4.4303,-1.9858,3.7872,-6.402
-2.6077,4.1487,5.6504,3.2483,-3.3874,1.2745,2.3611,7.7952,1.734,2.1064,1.8042,-13.021,0.47597,-0.66088,-3.1153,2.9712,6.1813,-8.5491,-5.1688,7.1281
-1.1797,3.9667,-0.13455,-3.4667,4.3959,1.1294,5.4165,5.1273,0.18787,-2.3324,-5.4787,3.8908,0.20653,-1.0925,2.6369,0.14054,4.9566,4.2547,7.0911,2.8029
2.2498,0.45874,-7.7314,0.1275,-0.49771,-2.2012,0.28132,6.5097,4.7807,3.1668,-0.20071,3.1967,3.1445,-1.2233,5.4091,-6.0402,2.5092,-2.1063,2.3251,-4.9791
3.4568,-3.4408,0.66841,1.3827,0.25961,-4.7919,1.9644,-2.8459,3.5479,-1.9766,3.9263,3.4138,-0.91902,2.5722,-5.5682,4.1343,-0.84396,-2.1728,-4.9607,-5.8953
0.70817,-0.47764,0.11022,-1.1776,3.4491,-2.9473,0.01094,0.5038,-0.63788,-0.73735,5.5601,-0.34393,-0.65959,-4.8027,0.36517,3.6268,1.4493,1.885,2.3976,-2.4169
-0.80786,-2.2711,2.9353,3.2516,4.1638,-0.25735,-2.1587,-1.8621,1.3022,-0.9803,-1.0248,-0.92766,-4.7155,2.8309,3.6629,-1.5138,-0.45851,1.8507,-1.9878,0.58727
-4.8111,-8.2681,-1.705,-6.9681,12.67,4.3766,6.6285,-4.3618,-3.4251,-7.0009,11.035,-3.4551,-3.357,-7.9765,-1.3959,-4.0324,1.7688,-0.65508,2.1476,4.1789
-2.2688,-2.8637,7.4648,1.3428,-2.921,0.44378,-2.3485,1.9004,1.0693,-6.0118,3.6047,-0.078092,3.0836,-2.4452,-5.1223,5.3012,3.4874,9.668,-1.0499,-2.8931
-1.5367,-0.14548,2.3145,-2.9579,0.7001,-5.0406,-0.63681,6.4993,0.77654,-4.5021,1.209,-3.0608,6.6057,-0.65568,4.6875,4.5684,-1.8197,2.4764,9.9335,-0.10974
-1.5653,-3.2475,0.64237,8.5345,-2.11,-0.32108,-6.9862,0.0043642,-5.1986,1.7369,-0.91386,-1.8561,-0.33569,3.8874,-3.6207,-7.7535,-3.088,1.5926,4.9995,-1.5359
3.5016,7.0223,-8.1913,0.55628,0.27964,-0.14175,-0.46312,-0.36678,-1.4245,-0.57266,4.7504,-2.9114,1.6562,-0.027365,-3.4686,3.5164,1.8058,3.073,2.0621,3.6209
7.8141,-8.1909,1.5239,-9.0521,-7.276,-3.1249,-1.9807,2.0465,4.5868,2.4078,1.0554,-0.16883,-2.1582,-4.0538,-1.613,-2.4247,-9.7203,-0.83113,-5.7498,0.48286
1.0921,3.4034,-3.1509,-0.47433,-0.27107,-4.1336,0.86399,3.2497,4.2272,0.49783,-0.56645,-3.2275,3.3758,5.79,0.7852,-5.282,-1.3697,-4.288,-3.6609,-6.0994
-0.70285,-5.7681,-1.8597,-0.11365,-5.0678,0.24384,-8.2544,-4.9923,-0.87965,-13.982,5.0752,-7.6991,-2.8307,-2.3928,3.0619,5.3136,0.24988,0.89491,-3.1858,-2.8155
