t             ,x             ,y             ,z             
23071591876000, -0.1885189167,  0.2138363347, -0.0032273372
23071611911000, -0.1870734401,  0.2496546511, -0.0313163847
23071631894000, -0.1711346504,  0.2705454357, -0.0573390377
23071660824000, -0.1459642891,  0.2741395553, -0.0759896876
23071672312000, -0.1179998063,  0.2607126924, -0.0835301796
23071697757000, -0.0934464681,  0.2334122752, -0.0786695891
23071711876000, -0.0769878303,  0.1978929226, -0.0627395826
23071731881000, -0.0710448087,  0.1614791869, -0.0398546620
23071752201000, -0.0757377375,  0.1313034142, -0.0157752473
23071772049000, -0.0890473698,  0.1130711424,  0.0035532868
23071793296000, -0.1075882626,  0.1099252202,  0.0133092672
23071811891000, -0.1276376350,  0.1212892957,  0.0110249277
23071834272000, -0.1458703364,  0.1435453204, -0.0029611491
23071851864000, -0.1604920371,  0.1695895197, -0.0256070320
23071871884000, -0.1709886969,  0.1903295508, -0.0519656431
23071891856000, -0.1777696478,  0.1965149890, -0.0763512507
23071911862000, -0.1819060001,  0.1811016398, -0.0936551578
23071932006000, -0.1844375738,  0.1410402553, -0.1006017044
23071952012000, -0.1850388359,  0.0787413876, -0.0966414130
23071972036000, -0.1816977794,  0.0027454861, -0.0841671206
23071992161000, -0.1714899440, -0.0729516197, -0.0681846801
23072011867000, -0.1517621572, -0.1306875119, -0.0553132578
23072032192000, -0.1214584023, -0.1519008122, -0.0524923579
23072052014000, -0.0823605251, -0.1206055935, -0.0657822911
23072071874000, -0.0398627000, -0.0270507929, -0.0992667718
23072092112000, -0.0030942515,  0.1298427852, -0.1542003498
23072111861000,  0.0159159077,  0.3410997240, -0.2290800656
23072132364000,  0.0042365341,  0.5877484765, -0.3198845602
23072152041000, -0.0493521757,  0.8424041452, -0.4204626698
23072172041000, -0.1519607610,  1.0730001301, -0.5234117615
23072192162000, -0.3044474526,  1.2476228275, -0.6208867398
23072211871000, -0.5005208008,  1.3392284873, -0.7054837094
23072232562000, -0.7269080267,  1.3299869168, -0.7703492701
23072252161000, -0.9645742358,  1.2146333303, -0.8091337654
23072271882000, -1.1910109194,  1.0017191959, -0.8162245712
23072292119000, -1.3833981120,  0.7123095333, -0.7872183181
23072311861000, -1.5218281155,  0.3766843726, -0.7195605002
23072332716000, -1.5922377637,  0.0294495242, -0.6134000840
23072352041000, -1.5879856674, -0.2959343049, -0.4726321402
23072371872000, -1.5101287061, -0.5723032779, -0.3056129155
23072392082000, -1.3666989248, -0.7830439175, -0.1253327618
23072411856000, -1.1710619630, -0.9242624974,  0.0511241130
23072431806000, -0.9397598234, -1.0046402464,  0.2041843489
23072452156000, -0.6903232698, -1.0431682332,  0.3143200859
23072471881000, -0.4395523897, -1.0651075846,  0.3652299902
23072492826000, -0.2025308447, -1.0971164749,  0.3470302319
23072511861000,  0.0076387657, -1.1624336512,  0.2589319303
23072531882000,  0.1796205047, -1.2770502253,  0.1106374657
23072552141000,  0.3035689362, -1.4476431788, -0.0780900062
23072572029000,  0.3716007149, -1.6713159251, -0.2797297171
23072591862000,  0.3779344666, -1.9364219878, -0.4635161525
23072611846000,  0.3209975998, -2.2269175583, -0.6010235196
23072631879000,  0.2041581456, -2.5260571436, -0.6712983930
23072652019000,  0.0361744307, -2.8196715244, -0.6647998116
23072672207000, -0.1687104215, -3.0981248994, -0.5863977819
23072692077000, -0.3910574052, -3.3571839670, -0.4560639461
23072711857000, -0.6081039893, -3.5975130308, -0.3063770918
23072731876000, -0.7977353331, -3.8223244838, -0.1767354846
23072752031000, -0.9430265441, -4.0351211412, -0.1059208957
23072772016000, -1.0351950793, -4.2344520751, -0.1244914138
23072792159000, -1.0775257257, -4.4139318373, -0.2482729471
23072811856000, -1.0857551980, -4.5616187510, -0.4742049752
23072831877000, -1.0862872886, -4.6609715643, -0.7796207490
23072852036000, -1.1118775856, -4.6936910494, -1.1249253973
23072871984000, -1.1951520285, -4.6435024711, -1.4598243547
23072892097000, -1.3616865481, -4.5001353915, -1.7318319556
23072911862000, -1.6228898521, -4.2627769469, -1.8955469298
23072931879000, -1.9711943853, -3.9411906836, -1.9202697160
23072952034000, -2.3782162240, -3.5549662057, -1.7963496778
23072971992000, -2.7971780634, -3.1311398744, -1.5373348292
23072992086000, -3.1699982277, -2.7000008054, -1.1782293168
23073011856000, -3.4363098934, -2.2897304146, -0.7701897975
23073031879000, -3.5438986746, -1.9217619737, -0.3722499758
23073052039000, -3.4586793321, -1.6069085023, -0.0419312234
23073071986000, -3.1719743776, -1.3435289865,  0.1740085832
23073092097000, -2.7031795434, -1.1187673538,  0.2469177886
23073111856000, -2.0973495850, -0.9115054815,  0.1703742518
23073131879000, -1.4186221004, -0.6968069689, -0.0395507896
23073152037000, -0.7404702115, -0.4512485396, -0.3475702903
23073171984000, -0.1347229925, -0.1579990293, -0.7056073706
23073192072000,  0.3384049334,  0.1889353424, -1.0607022067
23073211857000,  0.6378566779,  0.5827312517, -1.3624411031
23073231877000,  0.7451348706,  1.0041956631, -1.5700881313
23073252034000,  0.6634040986,  1.4231574241, -1.6565218052
23073275161000,  0.4134672449,  1.8012899444, -1.6094950203
23073291896000,  0.0273315020,  2.0962172249, -1.4307305483
23073311882000, -0.4586631470,  2.2662225238, -1.1334120390
23073331877000, -1.0086263388,  2.2748926618, -0.7380950786
23073352129000, -1.5890769493,  2.0947706509, -0.2688193985
23073371877000, -2.1682253604,  1.7098501351,  0.2495855502
23073392346000, -2.7130153539,  1.1178881377,  0.7925618725
23073411877000, -3.1854935770,  0.3321829773,  1.3352060112
23073431886000, -3.5407443648, -0.6170520151,  1.8504430192
23073452152000, -3.7277815731, -1.6825580151,  2.3065725475
23073471882000, -3.6937200716, -2.8003383465,  2.6662101639
23073495137000, -3.3927043794, -3.8919164565,  2.8867440042
23073512199000, -2.7973370062, -4.8687233731,  2.9233356649
23073531881000, -1.9100712326, -5.6387661333,  2.7346397921
23073552136000, -0.7718292575, -6.1155192831,  2.2905802572
23073571877000,  0.5349630391, -6.2280837975,  1.5810478903
23073592279000,  1.8909270969, -5.9315381288,  0.6239892387
23073611862000,  3.1524620458, -5.2158005046, -0.5289709234
23073631877000,  4.1713716051, -4.1113968117, -1.7910159219
23073651859000,  4.8183014067, -2.6905227696, -3.0437630424
23073672147000,  5.0057126373, -1.0624997355, -4.1469804316
23073692082000,  4.7062210816,  0.6365921238, -4.9534612084
23073711857000,  3.9609359766,  2.2596992946, -5.3281491492
23073731882000,  2.8773638569,  3.6668969954, -5.1681766373
23073752201000,  1.6144925446,  4.7429651340, -4.4216490873
23073771872000,  0.3567428046,  5.4130307197, -3.1003579953
23073792077000, -0.7174808436,  5.6522191830, -1.2869806115
23073811864000, -1.4669099054,  5.4873382917,  0.8669510096
23073831879000, -1.8114892902,  4.9934097365,  3.1530906841
23073852156000, -1.7456920627,  4.2792883296,  5.3281932467
23073871874000, -1.3389263222,  3.4691188754,  7.1428601989
23073892077000, -0.7206325007,  2.6841293270,  8.3733946407
23073911856000, -0.0542774588,  2.0231102806,  8.8524317407
23073931872000,  0.4955419218,  1.5482323290,  8.4935456029
23073952022000,  0.7960517436,  1.2780802203,  7.3062149202
23073971879000,  0.7725804919,  1.1891446682,  5.3980023353
23073992107000,  0.4228000349,  1.2243742981,  2.9631048561
23074011867000, -0.1837449739,  1.3075931020,  0.2583071087
23074031877000, -0.9203974023,  1.3603735763, -2.4302026286
23074052067000, -1.6297034802,  1.3185934319, -4.8248097285
23074071869000, -2.1559229998,  1.1449424697, -6.6939145798
23074092154000, -2.3763290107,  0.8354805406, -7.8825156191
23074111861000, -2.2254424675,  0.4187744146, -8.3307010453
23074131877000, -1.7071477547, -0.0515934843, -8.0775005988
23074152022000, -0.8921712665, -0.5090119386, -7.2491624597
23074171852000,  0.0979478892, -0.8877953349, -6.0339535491
23074192079000,  1.1165136382, -1.1359172306, -4.6479770839
23074211859000,  2.0215372637, -1.2240567547, -3.2978659668
23074231879000,  2.7030155557, -1.1495230568, -2.1470410596
