t             ,x             ,y             ,z             
13688620615000, -0.9847659888, -1.5094357241,  1.6006179161
13688640208000, -0.9632640844, -1.9434287966,  2.0235064735
13688659736000, -0.8900311788, -2.3128218498,  2.3164586882
13688679528000, -0.7787064677, -2.5868786567,  2.4398115310
13688701763000, -0.6433497883, -2.7461810404,  2.3725135630
13688719520000, -0.4959241434, -2.7831375797,  2.1132514371
13688739438000, -0.3448069311, -2.7004472511,  1.6790284017
13688759758000, -0.1946474926, -2.5086597999,  1.1018449038
13688779933000, -0.0477110324, -2.2235859983,  0.4241966764
13688801713000,  0.0937146156, -1.8638947673, -0.3053938381
13688821426000,  0.2251011415, -1.4494519029, -1.0363978584
13688839533000,  0.3384038293, -1.0007652337, -1.7195160181
13688859696000,  0.4224075986, -0.5392343326, -2.3095807058
13688879486000,  0.4646904083, -0.0874335678, -2.7676687413
13688899473000,  0.4549404856,  0.3309079907, -3.0631708869
13688919458000,  0.3887581274,  0.6922789063, -3.1758637393
13688939641000,  0.2708369036,  0.9759230876, -3.0978324823
13688959620000,  0.1165792370,  1.1672786728, -2.8352913577
13688979468000, -0.0484723305,  1.2613135495, -2.4091985520
13688999480000, -0.1918621851,  1.2650549610, -1.8544539721
13689019498000, -0.2793691098,  1.1980304446, -1.2174046925
13689039646000, -0.2811864122,  1.0901033724, -0.5512076652
13689059605000, -0.1780098093,  0.9768326802,  0.0904654791
13689079470000,  0.0345326902,  0.8929635632,  0.6599827313
13689099480000,  0.3440445565,  0.8650030339,  1.1221568371
13689119485000,  0.7229056710,  0.9046382705,  1.4585112587
13689139638000,  1.1327997601,  1.0048949784,  1.6686600738
13689159625000,  1.5312602265,  1.1400884213,  1.7681785647
13689179473000,  1.8789578655,  1.2702531121,  1.7832872788
13689199478000,  2.1460255923,  1.3492124568,  1.7432230228
13689219491000,  2.3162129663,  1.3349529110,  1.6721602078
13689239613000,  2.3878150243,  1.2000839875,  1.5824028229
13689259500000,  2.3710466282,  0.9399937963,  1.4704204290
13689279470000,  2.2828437771,  0.5765627032,  1.3167555215
13689299481000,  2.1407128881,  0.1560998942,  1.0906748926
13689319478000,  1.9569189800, -0.2585790835,  0.7584143522
13689339638000,  1.7344578164, -0.6004323792,  0.2934965970
13689359488000,  1.4662679606, -0.8125730226, -0.3130937388
13689379475000,  1.1380383506, -0.8616845015, -1.0452951040
13689399475000,  0.7341771506, -0.7471892256, -1.8589823883
