t             ,x             ,y             ,z             
36818785879000,  0.2143813361, -1.6006651626, -0.2623794821
36818809670000,  0.5208563178, -2.0659647973, -0.3095168074
36818827120000,  0.8159909925, -2.5750310475, -0.3953019678
36818845800000,  1.0596759137, -3.0920987778, -0.5415683255
36818865795000,  1.2263043850, -3.5659771657, -0.7748506180
36818885854000,  1.3119484612, -3.9362987013, -1.1234377552
36818905957000,  1.3365860455, -4.1439059807, -1.6116216925
36818925854000,  1.3404352753, -4.1437203756, -2.2513897212
36818946045000,  1.3750981840, -3.9175663608, -3.0329512068
36818965854000,  1.4907369442, -3.4843171503, -3.9161117326
36818985877000,  1.7223753044, -2.9047582179, -4.8251129271
36819005859000,  2.0786166865, -2.2789475794, -5.6493387918
36819025857000,  2.5356092603, -1.7353670086, -6.2516819862
36819045889000,  3.0383919289, -1.4133679106, -6.4852321843
36819065887000,  3.5095145944, -1.4409591534, -6.2173243320
36819085869000,  3.8641631916, -1.9116654759, -5.3566818778
36819105875000,  4.0290619668, -2.8647502990, -3.8791991082
36819125890000,  3.9608773962, -4.2730315724, -1.8468638229
36819146045000,  3.6598135605, -6.0408551213,  0.5856447451
36819165884000,  3.1749367273, -8.0134811636,  3.1795289866
36819186195000,  2.5994465960, -9.9968916699,  5.6368450691
36819205869000,  2.0563682108,-11.7847312477,  7.6399628915
36819225885000,  1.6770709253,-13.1882079115,  8.9000141526
36819245827000,  1.5760732291,-14.0640337713,  9.2061416122
36819265815000,  1.8270537789,-14.3353821290,  8.4666097104
36819285805000,  2.4453830930,-14.0022741926,  6.7332107506
36819306014000,  3.3813514674,-13.1393150541,  4.2028507682
36819325879000,  4.5256383010,-11.8813549987,  1.1940161187
36819345840000,  5.7260506279,-10.3997868687, -1.8994035426
36819365815000,  6.8130011018, -8.8741088827, -4.6700104365
36819385807000,  7.6287529367, -7.4637510571, -6.7645193462
36819405794000,  8.0547609258, -6.2848813003, -7.9442804480
36819425807000,  8.0316338799, -5.3961679495, -8.1278632229
36819445965000,  7.5677777530, -4.7957578912, -7.4063175507
36819465825000,  6.7353904421, -4.4292956337, -6.0273330575
36819485804000,  5.6546721409, -4.2064754559, -4.3504901927
36819505805000,  4.4694984069, -4.0223567253, -2.7808699462
36819525777000,  3.3201604601, -3.7797223385, -1.6933396289
36819545974000,  2.3180798165, -3.4077253042, -1.3616472933
36819565824000,  1.5288420328, -2.8731297417, -1.9053040105
36819585815000,  0.9657882417, -2.1833275727, -3.2654246249
36819605787000,  0.5955621923, -1.3813331049, -5.2150390361
36819625822000,  0.3535289740, -0.5344874015, -7.4011989649
36819645959000,  0.1658142399,  0.2803354895, -9.4114620527
36819665820000, -0.0279044537,  0.9914228319,-10.8521023994
36819685809000, -0.2565453118,  1.5439353880,-11.4226231017
36819705797000, -0.5084757339,  1.9065489481,-10.9722588045
36819725822000, -0.7334973493,  2.0725868226, -9.5274690667
36819745802000, -0.8555860325,  2.0561397218, -7.2852438152
36819765814000, -0.7933273842,  1.8851529376, -4.5738726527
36819785725000, -0.4833941999,  1.5935556076, -1.7893816652
36819805805000,  0.0983801201,  1.2145524750,  0.6795293734
36819825812000,  0.9236863969,  0.7766447449,  2.5229339645
36819845957000,  1.9096530699,  0.3029294936,  3.5635015242
36819865814000,  2.9289249388, -0.1868990355,  3.7823990743
36819885802000,  3.8303063678, -0.6732445171,  3.3128722859
36819905790000,  4.4660471590, -1.1336232104,  2.4039194438
36819925827000,  4.7198738902, -1.5417961934,  1.3623406619
36819945960000,  4.5298819135, -1.8696206682,  0.4861689603
36819965822000,  3.9019384234, -2.0913273520,  0.0029479323
36819985809000,  2.9098907546, -2.1901362900,  0.0267187310
36820005790000,  1.6827324752, -2.1642576908,  0.5415896860
36820025817000,  0.3813342114, -2.0309489350,  1.4131306432
36820045960000, -0.8310017140, -1.8264664406,  2.4240251827
36820065825000, -1.8175044488, -1.6012784303,  3.3274229894
36820085949000, -2.4899516741, -1.4111508280,  3.9035828538
36820105797000, -2.8211334122, -1.3059726520,  4.0076694003
36820125827000, -2.8448579241, -1.3182105677,  3.5983125805
36820145969000, -2.6437677164, -1.4539352703,  2.7417303886
36820165822000, -2.3277643696, -1.6890853395,  1.5916974368
36820185989000, -2.0081009863, -1.9728737575,  0.3510308623
36820205794000, -1.7734050790, -2.2383089986, -0.7761617662
36820225835000, -1.6721096558, -2.4176795126, -1.6300472645
36820245967000, -1.7050606289, -2.4599638551, -2.1275802031
36820265819000, -1.8293713714, -2.3463367135, -2.2749713154
36820286294000, -1.9719422505, -2.0997421856, -2.1577842536
36820305797000, -2.0494151700, -1.7858913002, -1.9117511664
36820325834000, -1.9899032071, -1.5043043763, -1.6817507914
36820345810000, -1.7514763008, -1.3706629530, -1.5794637705
36820365825000, -1.3330164552, -1.4935139306, -1.6505822381
36820386355000, -0.7751542740, -1.9498420950, -1.8597884858
36820405799000, -0.1514865023, -2.7647983961, -2.0976159445
36820425819000,  0.4476805627, -3.9002582245, -2.2078039026
36820445970000,  0.9356079586, -5.2552601052, -2.0290824452
36820465860000,  1.2483450402, -6.6789349815, -1.4416187765
36820486355000,  1.3584314013, -7.9935769454, -0.4065945334
36820505807000,  1.2802162289, -9.0246287823,  1.0109012262
36820525734000,  1.0656135611, -9.6309148568,  2.6414822076
36820545807000,  0.7908724268, -9.7294817454,  4.2358997730
36820565819000,  0.5380461256, -9.3097126518,  5.5097183871
36820586807000,  0.3751377473, -8.4337226996,  6.1986821917
36820605797000,  0.3390565431, -7.2232517237,  6.1132254953
36820625830000,  0.4256571944, -5.8354323777,  5.1810165919
36820646005000,  0.5895302390, -4.4320727780,  3.4675038287
36820665834000,  0.7532885424, -3.1493922313,  1.1695826386
36820685827000,  0.8243664516, -2.0741261634, -1.4167207106
36820705792000,  0.7156338782, -1.2308798274, -3.9482796255
36820725819000,  0.3657015752, -0.5832841408, -6.0961792691
36820745959000, -0.2453730508, -0.0483155412, -7.6040092328
36820765820000, -1.0885712745,  0.4795489868, -8.3313744139
36820785825000, -2.0883945175,  1.0996906501, -8.2740750798
36820805790000, -3.1347202100,  1.8787432041, -7.5574319391
36820825822000, -4.1018612534,  2.8319474847, -6.4048923460
36820845959000, -4.8708920638,  3.9165830181, -5.0888567788
36820865845000, -5.3508424333,  5.0388338951, -3.8745051929
36820885820000, -5.4945535466,  6.0726291506, -2.9684047443
36820905790000, -5.3061547747,  6.8860768535, -2.4822549299
36820925822000, -4.8389190854,  7.3694833474, -2.4183585986
36820945965000, -4.1838736800,  7.4591136178, -2.6793253225
36820965819000, -3.4512691395,  7.1511040863, -3.0978699824
36820985820000, -2.7495262479,  6.5019392412, -3.4790234366
36821005795000, -2.1654672684,  5.6166627818, -3.6458528461
36821025822000, -1.7495796304,  4.6265521734, -3.4795036726
36821045969000, -1.5092560665,  3.6621633303, -2.9430573504
36821065822000, -1.4103876003,  2.8276405530, -2.0857067904
36821085820000, -1.3874792806,  2.1814234690, -1.0282012904
36821105792000, -1.3602496191,  1.7279788644,  0.0665552094
36821125822000, -1.2528667492,  1.4225680317,  1.0303610205
36821145960000, -1.0118896106,  1.1875053579,  1.7255879073
36821165817000, -0.6189850955,  0.9360120251,  2.0722383977
36821185805000, -0.0962483800,  0.5971369511,  2.0608471960
36821205802000,  0.4968614999,  0.1360915734,  1.7487696871
36821225819000,  1.0745380485, -0.4348835798,  1.2420056829
36821245965000,  1.5414481975, -1.0579499756,  0.6679043751
36821265870000,  1.8126858572, -1.6431573276,  0.1453538533
36821285857000,  1.8322266188, -2.0910517560, -0.2404504672
36821307542000,  1.5863291780, -2.3190578820, -0.4529236811
36821327150000,  1.1091275732, -2.2854167232, -0.5058627435
36821345825000,  0.4792714811, -2.0046449539, -0.4529196042
36821365819000, -0.1919958176, -1.5501538227, -0.3681130216
36821385825000, -0.7796144108, -1.0429401388, -0.3228228355
36821405794000, -1.1669866416, -0.6282608653, -0.3654028841
36821425817000, -1.2676329587, -0.4448662441, -0.5083745429
