t             ,x             ,y             ,z             
24624405815000,  0.0674407909,  0.0270975217,  0.1151349298
24624426512000,  0.1461265970,  0.0299417852, -0.0141786550
24624449598000,  0.2277596727,  0.0421923715, -0.1527009362
24624467087000,  0.2989889826,  0.0683550454, -0.2694029340
24624485480000,  0.3469697135,  0.1108530837, -0.3370909850
24624505513000,  0.3620395789,  0.1689314447, -0.3388446895
24624525515000,  0.3398403457,  0.2381557733, -0.2721693426
24624545533000,  0.2824624855,  0.3106669708, -0.1497910377
24624566158000,  0.1982088247,  0.3762662547,  0.0031049608
24624585660000,  0.1000604707,  0.4241784487,  0.1545666965
24624605603000,  0.0031102998,  0.4452311611,  0.2731333347
24624626565000, -0.0785486774,  0.4339353335,  0.3349851852
24624645483000, -0.1347331676,  0.3900066233,  0.3292193640
24624665460000, -0.1612022669,  0.3188985293,  0.2600354053
24624685477000, -0.1603548756,  0.2310753881,  0.1451952199
24624705447000, -0.1403804857,  0.1402351975,  0.0112204440
24624725475000, -0.1129354668,  0.0604973357, -0.1135638623
24624745460000, -0.0900392198,  0.0034218993, -0.2062259249
24624765463000, -0.0810392923, -0.0246823694, -0.2547601467
24624785470000, -0.0899170852, -0.0247285966, -0.2606947392
24624805613000, -0.1139515632, -0.0054154981, -0.2380587335
24624825633000, -0.1441252002,  0.0179058918, -0.2089416021
24624845613000, -0.1673342017,  0.0259599010, -0.1967860457
24624865450000, -0.1697655341, -0.0006572641, -0.2193337127
24624885472000, -0.1410815376, -0.0773966682, -0.2829984411
24624905620000, -0.0779501874, -0.2122529652, -0.3804303747
24624925470000,  0.0142133327, -0.4035303975, -0.4921395671
24624945457000,  0.1213737568, -0.6395906465, -0.5919747149
24624965455000,  0.2229670491, -0.9006178651, -0.6552264945
24624985457000,  0.2956298284, -1.1621507713, -0.6672034680
24625005912000,  0.3179502004, -1.3996983137, -0.6299267559
24625025500000,  0.2751257658, -1.5935186820, -0.5648563401
24625045455000,  0.1621744735, -1.7326251782, -0.5104362729
24625065453000, -0.0150341161, -1.8169248918, -0.5143969866
24625085465000, -0.2412609959, -1.8570263668, -0.6222111879
24625105620000, -0.4958109152, -1.8715622077, -0.8641781387
24625125470000, -0.7578536092, -1.8824403701, -1.2443350608
24625145455000, -1.0120469757, -1.9089615495, -1.7340215521
24625165457000, -1.2530093537, -1.9623431215, -2.2718316226
24625185477000, -1.4871667849, -2.0416633951, -2.7711066117
24625205617000, -1.7314101752, -2.1321886922, -3.1340529386
24625225470000, -2.0085039445, -2.2067163562, -3.2700105134
24625245460000, -2.3401865663, -2.2299110355, -3.1141451603
24625265623000, -2.7393424156, -2.1649381005, -2.6427041376
24625287403000, -3.2030918268, -1.9811195379, -1.8812586715
24625305672000, -3.7086532533, -1.6609932864, -0.9038424936
24625325523000, -4.2133887597, -1.2053099595,  0.1773529085
24625345465000, -4.6595178840, -0.6348283337,  1.2299617700
24625365467000, -4.9829990116,  0.0116379032,  2.1238221796
24625385450000, -5.1251063774,  0.6826661810,  2.7534437491
24625405618000, -5.0446478071,  1.3221767024,  3.0560969993
24625425472000, -4.7282941699,  1.8782667151,  3.0218805333
24625445463000, -4.1967076028,  2.3112262207,  2.6938485189
24625465458000, -3.5048098257,  2.5990759981,  2.1582123824
24625485475000, -2.7357846673,  2.7394351933,  1.5267072827
24625505612000, -1.9896178062,  2.7473671569,  0.9149584556
24625525473000, -1.3679721229,  2.6496949313,  0.4211018896
24625545453000, -0.9581432966,  2.4770643083,  0.1089916201
24625565448000, -0.8190767613,  2.2556291511, -0.0008854603
24625585467000, -0.9721687104,  2.0003106917,  0.0687124829
24625605610000, -1.3985299429,  1.7112532435,  0.2604118787
24625625468000, -2.0431840584,  1.3744208715,  0.4971131239
24625645453000, -2.8253122248,  0.9664186770,  0.6994653503
24625665453000, -3.6524229404,  0.4625530081,  0.8019766697
24625685470000, -4.4356710161, -0.1537073378,  0.7645695693
24625705603000, -5.1032701219, -0.8820197398,  0.5773302857
24625725473000, -5.6095311171, -1.6994626902,  0.2580304442
24625745458000, -5.9380734520, -2.5594748295, -0.1561837499
24625765448000, -6.0990302719, -3.3962096005, -0.6203312489
24625785473000, -6.1213471781, -4.1337425652, -1.0931790776
24625805603000, -6.0423138168, -4.6986815352, -1.5458922969
