t             ,x             ,y             ,z             
22544411879000,  0.1453517695, -0.2490144646, -0.0238578728
22544431863000,  0.1542079774, -0.2813624119, -0.0209689821
22544451884000,  0.1590715321, -0.2665387891, -0.0259632010
22544471901000,  0.1651233921, -0.2072260864, -0.0367702243
22544491846000,  0.1764727341, -0.1174408666, -0.0488281470
22544511989000,  0.1944097612, -0.0198407153, -0.0560307323
22544531891000,  0.2163261719,  0.0593789036, -0.0521424644
22544551861000,  0.2357130688,  0.0969044414, -0.0323845187
22544571868000,  0.2433288560,  0.0784980077,  0.0052812560
22544591873000,  0.2292824235,  0.0035171295,  0.0593492430
22544612136000,  0.1857581295, -0.1135152031,  0.1247784840
22544631891000,  0.1096828867, -0.2449197354,  0.1936277184
22544652316000,  0.0046648457, -0.3552513495,  0.2563748090
22544671884000, -0.1183959011, -0.4090356191,  0.3036687734
22544692076000, -0.2421496979, -0.3792202696,  0.3279534055
22544712159000, -0.3451831077, -0.2544424533,  0.3246832484
22544731903000, -0.4054845004, -0.0433787668,  0.2928323551
22544751931000, -0.4043608007,  0.2251451763,  0.2346843287
22544771921000, -0.3300051722,  0.5065078933,  0.1550336649
22544791819000, -0.1799671136,  0.7486831951,  0.0600359457
22544811853000,  0.0380109167,  0.9027635538, -0.0439852994
22544831908000,  0.3069817725,  0.9335815387, -0.1514451359
22544851894000,  0.6034497520,  0.8280652010, -0.2577639320
22544872433000,  0.9011427299,  0.5993072176, -0.3590729106
22544891899000,  1.1750245133,  0.2852746519, -0.4514481501
22544912051000,  1.4047801848, -0.0578284252, -0.5299748536
22544931899000,  1.5770580860, -0.3664342098, -0.5880213174
22544951879000,  1.6860443115, -0.5824746959, -0.6171206484
22544971861000,  1.7323882612, -0.6656452450, -0.6076887210
22544991868000,  1.7209351168, -0.6024215250, -0.5506904168
22545012129000,  1.6579309782, -0.4096541152, -0.4399126957
22545031873000,  1.5485333575, -0.1319108427, -0.2744916223
22545052149000,  1.3953368604,  0.1670731392, -0.0610558979
22545071846000,  1.1983893008,  0.4171802300,  0.1851324676
22545091864000,  0.9567830301,  0.5564198678,  0.4406215516
22545112009000,  0.6714336841,  0.5441735389,  0.6758811846
22545131858000,  0.3482207868,  0.3703307663,  0.8590626214
22545152043000,  0.0005389830,  0.0583117906,  0.9607650956
22545171848000, -0.3496141502, -0.3387163446,  0.9590825334
22545191854000, -0.6727709555, -0.7476470698,  0.8439495625
22545212021000, -0.9354587703, -1.0895818177,  0.6198519500
22545231866000, -1.1051566757, -1.2952123519,  0.3062913667
22545252073000, -1.1561858868, -1.3184545169, -0.0639360370
22545271943000, -1.0757054479, -1.1456578047, -0.4487803937
22545292893000, -0.8680953758, -0.7984727974, -0.8029020072
22545311879000, -0.5566470329, -0.3302134141, -1.0845521239
22545331904000, -0.1818122496,  0.1840072910, -1.2621620944
22545351844000,  0.2039485090,  0.6608549588, -1.3192165361
22545371838000,  0.5439635394,  1.0231889410, -1.2565924070
22545391861000,  0.7863517706,  1.2128183068, -1.0921309416
22545413593000,  0.8926970090,  1.1991894696, -0.8575649705
22545431854000,  0.8448705300,  0.9825653432, -0.5933386891
22545451838000,  0.6485852640,  0.5915111455, -0.3423397881
22545471836000,  0.3328479784,  0.0756250769, -0.1435121056
22545491863000, -0.0545950624, -0.5047067643, -0.0265650842
22545513553000, -0.4550065514, -1.0891130300, -0.0085285664
22545531868000, -0.8081732923, -1.6264841967, -0.0927421606
