t             ,x             ,y             ,z             
28247085518000, -0.1159177364,  0.0191761024,  0.3323103638
28247105516000, -0.2069573296, -0.0816190066,  0.3027792074
28247125496000, -0.2507762303, -0.1779929379,  0.2054865896
28247150718000, -0.2286169348, -0.2490737141,  0.0660146339
28247165479000, -0.1341085363, -0.2789676143, -0.0781207882
28247185414000,  0.0249846702, -0.2607988580, -0.1868492789
28247205511000,  0.2280195890, -0.1986256387, -0.2281478882
28247225533000,  0.4457438671, -0.1067954925, -0.1872913532
28247245549000,  0.6466067132, -0.0068626231, -0.0723192127
28247265489000,  0.8036339897,  0.0772352711,  0.0858639778
28247285593000,  0.9002970918,  0.1245724076,  0.2393294393
28247305533000,  0.9340305389,  0.1221249200,  0.3338425032
28247325531000,  0.9165223080,  0.0680192034,  0.3220810484
28247345494000,  0.8712079846, -0.0280307199,  0.1761783121
28247365501000,  0.8282202408, -0.1475414552, -0.1033529997
28247385508000,  0.8177829940, -0.2680821585, -0.4852025940
28247405534000,  0.8637695218, -0.3684205244, -0.9120909737
28247425538000,  0.9800409756, -0.4336685760, -1.3123078224
28247445726000,  1.1692587872, -0.4587226827, -1.6158927948
28247465491000,  1.4247379140, -0.4485466951, -1.7722430798
28247486929000,  1.7346259172, -0.4149674604, -1.7642464081
28247505501000,  2.0875993496, -0.3707882851, -1.6154109201
28247525459000,  2.4776897290, -0.3225080182, -1.3880836311
28247545624000,  2.9066780360, -0.2636655601, -1.1717576164
28247565464000,  3.3835371527, -0.1706394058, -1.0635098163
28247585444000,  3.9200348165, -0.0025298566, -1.1436016467
28247606796000,  4.5240607168,  0.2936430224, -1.4520733475
28247625473000,  5.1915491454,  0.7729388557, -1.9718194257
28247645464000,  5.8994585472,  1.4789484776, -2.6222647285
28247665454000,  6.6021657521,  2.4294665222, -3.2666048155
28247685444000,  7.2328621759,  3.6042530587, -3.7322979493
28247705434000,  7.7108257150,  4.9379310747, -3.8419751375
28247725464000,  7.9536649585,  6.3208032299, -3.4493795466
28247745626000,  7.8927040750,  7.6084157860, -2.4732976483
28247765466000,  7.4885991812,  8.6390659716, -0.9225977366
28247785449000,  6.7437822435,  9.2573138560,  1.0933330596
28247805436000,  5.7087916118,  9.3396206299,  3.3719708420
28247825469000,  4.4804647274,  8.8178035471,  5.6426730533
28247845621000,  3.1915528167,  7.6959420026,  7.6057960020
28247865466000,  1.9928934535,  6.0569920993,  8.9793942268
28247885434000,  1.0310116427,  4.0572660335,  9.5451840663
28247905438000,  0.4250840680,  1.9088451289,  9.1855871974
28247925466000,  0.2475449581, -0.1477975038,  7.9048532428
28247945619000,  0.5120095091, -1.8770361644,  5.8300783757
28247965468000,  1.1711366526, -3.0819609104,  3.1919290793
28247985446000,  2.1249556049, -3.6332247383,  0.2883635893
28248005441000,  3.2381462582, -3.4881105878, -2.5621749942
28248025466000,  4.3631235762, -2.6967362914, -5.0698856814
28248045619000,  5.3645453367, -1.3942063283, -7.0162074311
28248065459000,  6.1406546760,  0.2199826395, -8.2824596335
28248085454000,  6.6376382331,  1.9119438527, -8.8601709414
28248105441000,  6.8546978090,  3.4480212444, -8.8416125443
28248125469000,  6.8390824895,  4.6283339850, -8.3931536483
28248145633000,  6.6721691037,  5.3141318027, -7.7179421226
28248165469000,  6.4494031378,  5.4451546988, -7.0150150440
28248185459000,  6.2595860739,  5.0435533779, -6.4425045665
28248205431000,  6.1668186940,  4.2053822231, -6.0922681047
28248225464000,  6.1987376696,  3.0818393199, -5.9801659238
28248245616000,  6.3432270787,  1.8532240862, -6.0525776002
28248265458000,  6.5539779327,  0.7003631786, -6.2067256888
28248285443000,  6.7629792263, -0.2215921820, -6.3197609270
28248305434000,  6.8972211652, -0.8032311706, -6.2798888160
28248325468000,  6.8958085658, -0.9922126513, -6.0130160016
28248345604000,  6.7236865086, -0.7948549710, -5.4993596798
28248365461000,  6.3792634075, -0.2686699781, -4.7769663065
28248385444000,  5.8944059951,  0.4920702266, -3.9320548052
28248405433000,  5.3270117454,  1.3748181518, -3.0788969724
28248425468000,  4.7485601201,  2.2677243025, -2.3339797778
28248445676000,  4.2293732332,  3.0753652245, -1.7906305500
28248465523000,  3.8237202430,  3.7301124231, -1.4993457507
28248485501000,  3.5591755154,  4.1972443530, -1.4580627158
28248505519000,  3.4323898415,  4.4742672781, -1.6138675617
28248525488000,  3.4112347292,  4.5846887175, -1.8757139899
28248545508000,  3.4430470887,  4.5685519891, -2.1353025801
28248565534000,  3.4662250100,  4.4717253290, -2.2910678124
28248585456000,  3.4236797525,  4.3361336840, -2.2694965159
28248605624000,  3.2743862636,  4.1921011259, -2.0402038059
28248625473000,  3.0007502977,  4.0541145223, -1.6212941510
28248645438000,  2.6105942930,  3.9203033730, -1.0743656193
28248665466000,  2.1335041437,  3.7751987141, -0.4905057862
28248685446000,  1.6133169759,  3.5950939281,  0.0296808293
28248705448000,  1.0981220512,  3.3542162612,  0.3970299591
28248725451000,  0.6299061424,  3.0307346037,  0.5515442650
28248745601000,  0.2364995982,  2.6116989920,  0.4730517853
28248765463000, -0.0727755984,  2.0961144839,  0.1831004429
28248785448000, -0.3070829171,  1.4956951861, -0.2620205436
28248805436000, -0.4901313065,  0.8336133208, -0.7848778832
28248825468000, -0.6535329199,  0.1415556415, -1.3037418913
28248845599000, -0.8290821378, -0.5443931498, -1.7488501654
28248865456000, -1.0417902773, -1.1883130975, -2.0743758366
28248885521000, -1.3049149481, -1.7587292948, -2.2637725183
28248905434000, -1.6179540831, -2.2319279012, -2.3277242957
28248925466000, -1.9676072092, -2.5940104247, -2.2956796042
28248945608000, -2.3310088015, -2.8415414513, -2.2037057805
28248965459000, -2.6801782744, -2.9806992183, -2.0819238534
28248985691000, -2.9865900648, -3.0251362724, -1.9449551096
28249005438000, -3.2248354150, -2.9931438579, -1.7879624029
