t             ,x             ,y             ,z             
2184265600000 , -0.1431036911,  0.2892159839,  0.2227744403
2184287429000 ,  0.1166097253,  0.6022596863,  0.3273946943
2184310670000 ,  0.4008280802,  0.9441668145,  0.3491247110
2184325545000 ,  0.6606063056,  1.2579422788,  0.2725431075
2184345744000 ,  0.8523592783,  1.4848751127,  0.1030311182
2184365659000 ,  0.9480412273,  1.5768762411, -0.1341357021
2184385777000 ,  0.9413921903,  1.5073354441, -0.3992459837
2184405775000 ,  0.8489819474,  1.2779818719, -0.6472613160
2184425640000 ,  0.7056735546,  0.9199583884, -0.8383845119
2184445625000 ,  0.5554839486,  0.4886172978, -0.9475676953
2184465617000 ,  0.4399020530,  0.0528869982, -0.9703868060
2184485615000 ,  0.3866731386, -0.3188881603, -0.9235619931
2184505600000 ,  0.4017753309, -0.5733398560, -0.8399377297
2184525617000 ,  0.4668714343, -0.6836762046, -0.7589074837
2184545630000 ,  0.5432478398, -0.6555633665, -0.7145436391
2184565610000 ,  0.5814927522, -0.5258328457, -0.7244672543
2184585617000 ,  0.5349136495, -0.3540663988, -0.7824894107
2184605557000 ,  0.3734799948, -0.2086766127, -0.8573876135
2184625659000 ,  0.0941219659, -0.1503221423, -0.8994161309
2184645652000 , -0.2739678589, -0.2176267762, -0.8530305395
2184665637000 , -0.6723207070, -0.4169656385, -0.6736112837
2184685642000 , -1.0244188671, -0.7194675407, -0.3430651767
2184705622000 , -1.2522327698, -1.0664223325,  0.1178904972
2184725649000 , -1.2946852785, -1.3834958142,  0.6449325447
2184745659000 , -1.1234751654, -1.5983803905,  1.1343212370
2184770769000 , -0.7533938449, -1.6604934506,  1.4575233164
2184785632000 , -0.2407961914, -1.5570312460,  1.4837116325
2184805614000 ,  0.3259723154, -1.3206185680,  1.1079674035
2184825634000 ,  0.8460299108, -1.0271399718,  0.2771070274
2184845630000 ,  1.2309602428, -0.7830331302, -0.9917738414
2184865619000 ,  1.4292096659, -0.7040071615, -2.6046100311
2184885604000 ,  1.4445585391, -0.8889585020, -4.3974907600
2184905592000 ,  1.3434391426, -1.3948606768, -6.1574636541
2184925634000 ,  1.2483150198, -2.2174627447, -7.6542161881
2184945587000 ,  1.3171287440, -3.2827523320, -8.6774572678
2184965579000 ,  1.7119188774, -4.4518307249, -9.0728998195
2184985719000 ,  2.5622601457, -5.5390535160, -8.7702562909
2185005577000 ,  3.9310192866, -6.3407841308, -7.7978074796
2185025589000 ,  5.7900014422, -6.6699363022, -6.2801722941
2185045740000 ,  8.0113862402, -6.3899121709, -4.4195486658
2185065585000 , 10.3781123739, -5.4415030793, -2.4636798330
2185085610000 , 12.6128330992, -3.8575457494, -0.6662774371
2185105600000 , 14.4210773071, -1.7620711142,  0.7527782311
2185125624000 , 15.5411015312,  0.6460008292,  1.6403978529
2185145634000 , 15.7912681115,  3.1217999420,  1.9304017996
2185165594000 , 15.1056867163,  5.4113477151,  1.6476086227
2185185565000 , 13.5510877995,  7.2895240899,  0.8959616940
2185205555000 , 11.3209312334,  8.5924337979, -0.1662959579
2185225635000 ,  8.7071748086,  9.2386351330, -1.3592012938
2185245585000 ,  6.0546506873,  9.2357231154, -2.5145180474
2185265565000 ,  3.7056651313,  8.6719369456, -3.5035039994
2185285714000 ,  1.9448443598,  7.6950709492, -4.2541620480
2185305562000 ,  0.9553065160,  6.4827905275, -4.7549624163
2185325604000 ,  0.7925692544,  5.2105856109, -5.0458769930
2185345739000 ,  1.3817973462,  4.0238722191, -5.1994240352
2185365600000 ,  2.5376082673,  3.0187448080, -5.2968624408
2185385640000 ,  4.0025864218,  2.2340257440, -5.4052684511
2185405590000 ,  5.4962337008,  1.6553121247, -5.5600333532
2185425645000 ,  6.7648663848,  1.2294530716, -5.7568652220
2185445592000 ,  7.6233541027,  0.8855133642, -5.9547561744
2185465599000 ,  7.9808145392,  0.5569296520, -6.0884829297
2185485605000 ,  7.8459346479,  0.2004133661, -6.0868618656
2185505612000 ,  7.3122203171, -0.1928475371, -5.8928273518
2185525645000 ,  6.5276136999, -0.5952346683, -5.4800214620
2185545625000 ,  5.6554339688, -0.9499898062, -4.8620194769
2185565619000 ,  4.8354118817, -1.1857513567, -4.0922781157
2185585630000 ,  4.1530644117, -1.2349125518, -3.2548460383
2185605644000 ,  3.6235833778, -1.0513402214, -2.4481434557
2185625627000 ,  3.1930110269, -0.6236279371, -1.7655913478
2185645625000 ,  2.7557487842,  0.0191201784, -1.2774958549
2185665604000 ,  2.1840586963,  0.8099771954, -1.0182701871
