t             ,x             ,y             ,z             
252508469000  , -0.2398396475,  0.1874557018, -0.2484934585
252528533000  , -0.3401249782,  0.1446522601, -0.0758955112
252548744000  , -0.4126036501,  0.0543542220,  0.1061302952
252568433000  , -0.4400061981, -0.0734971130,  0.2598859760
252589803000  , -0.4132749892, -0.2212479513,  0.3523346760
252608484000  , -0.3341707053, -0.3674829689,  0.3623937762
252628456000  , -0.2158334131, -0.4922158374,  0.2854938128
252648786000  , -0.0803862242, -0.5817946175,  0.1345569182
252668524000  ,  0.0457885116, -0.6321785498, -0.0629112816
252688528000  ,  0.1377375760, -0.6501112683, -0.2704256943
252708549000  ,  0.1775232378, -0.6521088359, -0.4495294004
252728526000  ,  0.1586753976, -0.6601896256, -0.5676297278
252748539000  ,  0.0881267416, -0.6960239899, -0.6044060027
252768528000  , -0.0150891680, -0.7746261247, -0.5556156184
252788524000  , -0.1239454142, -0.8991744498, -0.4333744937
252808703000  , -0.2096074323, -1.0585782589, -0.2631297414
252828661000  , -0.2484326578, -1.2284300497, -0.0778116015
252848539000  , -0.2279283803, -1.3751465629,  0.0892182130
252868539000  , -0.1504311545, -1.4628530037,  0.2105748373
252888511000  , -0.0335223347, -1.4616951822,  0.2694562599
252908703000  ,  0.0933518888, -1.3555048548,  0.2615038198
252928504000  ,  0.1951527034, -1.1467267906,  0.1939769536
252948528000  ,  0.2388731065, -0.8578099259,  0.0827050978
252968536000  ,  0.2009606089, -0.5282649965, -0.0523871085
252988524000  ,  0.0730496611, -0.2073540757, -0.1919579842
253008543000  , -0.1355206271,  0.0560702943, -0.3207938286
253028514000  , -0.3990876046,  0.2240709446, -0.4296908235
253048741000  , -0.6807648917,  0.2781337038, -0.5155762935
253068544000  , -0.9399435384,  0.2240547313, -0.5798585089
253088491000  , -1.1406868964,  0.0916643571, -0.6260161545
253108474000  , -1.2592127384, -0.0712806438, -0.6576133613
253128453000  , -1.2881538003, -0.2095308599, -0.6774627209
253148443000  , -1.2374401810, -0.2733444832, -0.6885421144
253168473000  , -1.1310203349, -0.2307950617, -0.6956371828
253188634000  , -1.0005524828, -0.0772841591, -0.7083136214
253208631000  , -0.8779319380,  0.1603774450, -0.7428672177
