t             ,x             ,y             ,z             
10771628834000, -0.2148715694, -0.8767325120,  0.5952293830
10771648896000, -0.3139156295, -0.9318546794,  0.3006045976
10771670686000, -0.4062001139, -0.9036797507, -0.1280313133
10771690533000, -0.4864467357, -0.8009703837, -0.6596466415
10771708791000, -0.5490644976, -0.6468045330, -1.2488732436
10771728813000, -0.5871872718, -0.4740019326, -1.8417563966
10771748741000, -0.5922191936, -0.3182972992, -2.3823118893
10771769208000, -0.5543420320, -0.2106654368, -2.8187978728
10771789086000, -0.4641909840, -0.1704345497, -3.1087991263
10771808818000, -0.3155515492, -0.2006994356, -3.2225747127
10771828824000, -0.1085594817, -0.2870842965, -3.1445412756
10771848841000,  0.1473983570, -0.4002008913, -2.8731480184
10771868829000,  0.4319910433, -0.5013537019, -2.4196561950
10771888819000,  0.7142429765, -0.5503351576, -1.8064138030
10771908953000,  0.9552564440, -0.5136901275, -1.0651126904
10771928829000,  1.1132670282, -0.3717164283, -0.2352768012
10771948838000,  1.1503640895, -0.1227356422,  0.6370613079
10771968768000,  1.0397121591,  0.2162410106,  1.5007880618
10771988789000,  0.7718248046,  0.6125445323,  2.3016577186
10772008784000,  0.3584621392,  1.0238716714,  2.9851321786
10772028788000, -0.1669268398,  1.4059592273,  3.5002633540
10772048764000, -0.7526659881,  1.7202412283,  3.8044327298
10772068769000, -1.3358782424,  1.9398752468,  3.8683968397
10772088789000, -1.8519579746,  2.0529449199,  3.6807981744
10772108939000, -2.2447804554,  2.0623332175,  3.2511823791
10772129636000, -2.4756838394,  1.9825524195,  2.6106708016
10772148808000, -2.5294173644,  1.8345242999,  1.8097742049
10772168754000, -2.4158096028,  1.6397587664,  0.9133416014
10772188786000, -2.1667675078,  1.4154715253, -0.0067875745
10772208939000, -1.8291920368,  1.1718877046, -0.8803495736
10772228789000, -1.4552751128,  0.9123683460, -1.6470407090
10772248768000, -1.0922240272,  0.6362179299, -2.2632748130
10772268771000, -0.7736016085,  0.3432755119, -2.7061279521
10772288788000, -0.5141276368,  0.0388505740, -2.9738068699
10772308938000, -0.3090231428, -0.2626186255, -3.0826581244
10772328834000, -0.1379577122, -0.5365704933, -3.0614277376
10772348763000,  0.0273912604, -0.7507595723, -2.9440321655
10772368771000,  0.2139975428, -0.8710375287, -2.7623838890
10772388791000,  0.4386212212, -0.8694729366, -2.5407605280
10772408939000,  0.7015856158, -0.7330697351, -2.2928227919
10772428793000,  0.9847589579, -0.4709696860, -2.0217578803
10772448771000,  1.2543211086, -0.1181264607, -1.7232938191
10772468771000,  1.4677557181,  0.2659735790, -1.3906656822
10772488788000,  1.5834772001,  0.6039998929, -1.0201726426
10772508936000,  1.5708270999,  0.8121773008, -0.6158508990
10772528793000,  1.4180253890,  0.8146064003, -0.1920306015
10772548768000,  1.1360881242,  0.5579303431,  0.2269114187
10772568766000,  0.7576373977,  0.0234841410,  0.6095770542
10772588793000,  0.3307271927, -0.7656450309,  0.9226135104
10772608934000, -0.0909893451, -1.7443807473,  1.1365533497
10772628791000, -0.4595079417, -2.8127500455,  1.2309460898
10772648759000, -0.7424887126, -3.8494364327,  1.1974634969
10772668771000, -0.9296133735, -4.7296772382,  1.0401721261
10772688788000, -1.0336738001, -5.3445276573,  0.7729064358
10772708941000, -1.0860139734, -5.6182139794,  0.4144627310
10772729331000, -1.1273143331, -5.5206215475, -0.0170330157
10772748774000, -1.1958847774, -5.0728409972, -0.5089242453
10772768761000, -1.3163295656, -4.3449475325, -1.0564507109
10772788794000, -1.4914780139, -3.4465568914, -1.6618089414
10772808938000, -1.6998051096, -2.5119146169, -2.3297133208
10772828796000, -1.8993275791, -1.6820996212, -3.0603078819
10772848769000, -2.0374252975, -1.0872160979, -3.8411444839
10772868906000, -2.0645579090, -0.8311850856, -4.6404624582
10772888766000, -1.9487753851, -0.9810232798, -5.4040155779
10772908933000, -1.6875297126, -1.5615006259, -6.0571413218
10772928789000, -1.3137048365, -2.5550358431, -6.5127314697
10772948749000, -0.8939328084, -3.9058477503, -6.6844393831
10772968773000, -0.5189208017, -5.5268964061, -6.5031285225
10772988788000, -0.2873157464, -7.3080899707, -5.9335340602
10773008936000, -0.2861742984, -9.1245586533, -4.9876368477
10773028788000, -0.5720256345,-10.8443678941, -3.7314933212
10773048764000, -1.1565836157,-12.3356627554, -2.2832359470
10773068806000, -2.0003404047,-13.4737021525, -0.8015078066
