t             ,x             ,y             ,z             
13876139546000,  0.0133279952,  0.9274674186,  0.4344990181
13876159540000,  0.1042456888,  1.3407896775,  0.3669343410
13876179523000,  0.2333295294,  1.6988196673,  0.2219110695
13876199606000,  0.3903654790,  1.9485073755,  0.0074586400
13876219450000,  0.5600727909,  2.0503747657, -0.2577029881
13876239521000,  0.7247954150,  1.9856196628, -0.5470003971
13876259703000,  0.8677484440,  1.7595080456, -0.8303433582
13876280115000,  0.9759458928,  1.4003993752, -1.0790403695
13876299528000,  1.0422917423,  0.9544544271, -1.2703847027
13876319541000,  1.0663851376,  0.4772032413, -1.3909748157
13876339561000,  1.0538781418,  0.0236137239, -1.4380946429
13876359550000,  1.0145932601, -0.3613180044, -1.4190725681
13876379530000,  0.9598633105, -0.6494724074, -1.3485292432
13876399591000,  0.8996444201, -0.8326841684, -1.2444271302
13876419540000,  0.8407203005, -0.9217183127, -1.1238467402
13876439688000,  0.7852849165, -0.9411777580, -0.9991512502
13876460250000,  0.7313203862, -0.9220334849, -0.8756213258
13876479490000,  0.6742115910, -0.8934861509, -0.7509710040
13876499471000,  0.6095447031, -0.8757543240, -0.6169947258
13876519481000,  0.5348289098, -0.8763219796, -0.4626238830
13876539515000,  0.4513014939, -0.8895802478, -0.2777769257
13876559480000,  0.3646867245, -0.9000505285, -0.0569790414
13876579546000,  0.2844104128, -0.8886281819,  0.1979780648
13876599523000,  0.2212607414, -0.8398195298,  0.4771941816
13876619490000,  0.1840253060, -0.7481466865,  0.7636904563
13876639501000,  0.1762343185, -0.6218012788,  1.0362447112
13876659483000,  0.1936331198, -0.4823588204,  1.2731997551
13876679646000,  0.2231463640, -0.3604154105,  1.4563799879
13876700370000,  0.2440517374, -0.2879709527,  1.5742079368
13876719688000,  0.2313074568, -0.2892924744,  1.6232543348
13876739690000,  0.1605630187, -0.3725284814,  1.6078686819
13876759616000,  0.0138388842, -0.5243943620,  1.5379904317
13876779478000, -0.2152311897, -0.7095516286,  1.4257947153
13876799501000, -0.5178845442, -0.8755047840,  1.2820146144
13876819483000, -0.8694822658, -0.9624745712,  1.1130529912
13876839515000, -1.2319365362, -0.9163545579,  0.9196523061
13876859485000, -1.5591604460, -0.7020989060,  0.6975694565
13876879455000, -1.8046539004, -0.3145465131,  0.4402253161
13876899495000, -1.9297802726,  0.2160781056,  0.1428406053
13876919480000, -1.9111961677,  0.8258332424, -0.1931789475
13876939506000, -1.7460362562,  1.4260742062, -0.5567746070
13876959486000, -1.4531235324,  1.9187621415, -0.9258050162
13876979468000, -1.0698862520,  2.2149471523, -1.2686263263
13876999511000, -0.6466887995,  2.2534139563, -1.5483447969
13877019473000, -0.2379762957,  2.0151718140, -1.7291917258
13877039495000,  0.1075600767,  1.5306414586, -1.7838579838
13877059485000,  0.3557833835,  0.8776009712, -1.7005006216
13877079473000,  0.4930842472,  0.1699735035, -1.4871396410
13877099505000,  0.5285400780, -0.4611108180, -1.1724447350
13877119485000,  0.4914186702, -0.8905639674, -0.8022585290
13877139505000,  0.4247271523, -1.0224747528, -0.4322290687
13877159483000,  0.3759979153, -0.8087296119, -0.1176861872
13877179475000,  0.3869800379, -0.2594806837,  0.0972057788
13877199563000,  0.4844082572,  0.5567147536,  0.1886770499
13877219570000,  0.6735730651,  1.5232155857,  0.1588713041
13877239586000,  0.9360399163,  2.4942370737,  0.0361008821
13877259516000,  1.2320005021,  3.3188846744, -0.1304941301
13877279561000,  1.5067773970,  3.8658106185, -0.2811390865
13877299555000,  1.7003713022,  4.0439814622, -0.3585510453
13877319540000,  1.7581926954,  3.8158298063, -0.3213736824
13877339495000,  1.6409939539,  3.2007528374, -0.1550286549
13877359485000,  1.3322985256,  2.2687442566,  0.1226873281
13877379473000,  0.8420741519,  1.1260283270,  0.4626579154
13877399503000,  0.2060226371, -0.1041739917,  0.7923271432
13877419486000, -0.5192607339, -1.3017363280,  1.0293513651
13877439505000, -1.2641775786, -2.3666014270,  1.0986295519
13877459485000, -1.9558298634, -3.2298122781,  0.9487672012
13877479650000, -2.5278562331, -3.8570694010,  0.5648694464
13877499475000, -2.9288042980, -4.2451077895, -0.0252656701
13877519476000, -3.1279144017, -4.4127715291, -0.7531753411
13877539508000, -3.1177513221, -4.3895417326, -1.5201007720
13877559710000, -2.9138087481, -4.2047006542, -2.2138788378
13877579466000, -2.5501303344, -3.8802127559, -2.7292918341
13877599503000, -2.0743333773, -3.4284984542, -2.9874674529
13877619483000, -1.5411451443, -2.8550137325, -2.9506580068
13877639505000, -1.0049601116, -2.1650864523, -2.6293323463
13877659891000, -0.5141428597, -1.3719670676, -2.0797383591
13877679475000, -0.1067011304, -0.5037111081, -1.3926368459
13877699518000,  0.1927799920,  0.3935387770, -0.6754711206
13877719486000,  0.3743938731,  1.2575290931, -0.0315423683
13877739505000,  0.4421684973,  2.0171683634,  0.4596080430
13877760106000,  0.4120522607,  2.6039481812,  0.7563063290
13877779471000,  0.3088184425,  2.9649529826,  0.8606231199
13877799500000,  0.1621703608,  3.0743638615,  0.8148300803
13877819485000,  0.0024088511,  2.9404418389,  0.6890026431
13877839508000, -0.1439488370,  2.6063399510,  0.5627034179
13877860283000, -0.2574933291,  2.1437042965,  0.5052344825
13877879471000, -0.3280586038,  1.6401084126,  0.5586485350
13877899488000, -0.3553000491,  1.1830027067,  0.7272622250
13877919483000, -0.3474867809,  0.8434648691,  0.9758716893
13877939513000, -0.3187419533,  0.6631853446,  1.2377583194
13877960463000, -0.2852196233,  0.6478132097,  1.4303529454
13877979468000, -0.2606168782,  0.7678605881,  1.4747555585
13877999503000, -0.2525000987,  0.9674707686,  1.3148953176
13878019475000, -0.2596336061,  1.1783283007,  0.9319539140
13878039488000, -0.2717282062,  1.3362643204,  0.3504580953
13878059436000, -0.2718551881,  1.3964193225, -0.3654591441
13878079661000, -0.2408522311,  1.3432693434, -1.1245508151
13878099615000, -0.1632401759,  1.1933447997, -1.8271656700
13878119488000, -0.0334148207,  0.9900187523, -2.3860725892
13878139488000,  0.1394576784,  0.7914282276, -2.7444088533
13878159506000,  0.3292468288,  0.6546107090, -2.8865806000
13878179661000,  0.4944274957,  0.6196707370, -2.8394445182
13878199615000,  0.5835693226,  0.6978843912, -2.6634135015
13878219485000,  0.5440255272,  0.8669088539, -2.4355175837
13878239491000,  0.3325565308,  1.0744221785, -2.2284369399
13878259508000, -0.0743226420,  1.2497429210, -2.0905884332
13878279660000, -0.6724520337,  1.3208360858, -2.0321295521
13878299605000, -1.4265955004,  1.2327646705, -2.0206501692
13878319486000, -2.2726390228,  0.9632300923, -1.9880255511
13878339488000, -3.1255511246,  0.5310556350, -1.8472116905
13878359505000, -3.8921023889, -0.0047233190, -1.5154279152
13878379661000, -4.4859182644, -0.5554577177, -0.9382436662
13878399618000, -4.8422959711, -1.0213127096, -0.1085741707
13878419470000, -4.9297670576, -1.3136225606,  0.9242996460
13878439508000, -4.7560078681, -1.3762167153,  2.0583961112
13878459503000, -4.3665152637, -1.2006607155,  3.1558968635
13878479661000, -3.8361584784, -0.8314526174,  4.0702012152
13878499833000, -3.2550488809, -0.3595045921,  4.6771215091
13878519490000, -2.7115484691,  0.0953721530,  4.9036844517
13878539473000, -2.2757217028,  0.4096432352,  4.7474967127
13878559505000, -1.9868550250,  0.4837726967,  4.2817437419
13878579665000, -1.8468851591,  0.2665954316,  3.6436700523
13878599518000, -1.8220906531, -0.2294558075,  3.0082439255
13878619491000, -1.8524803840, -0.9259286111,  2.5517380465
13878639506000, -1.8662805516, -1.6896445645,  2.4126676696
13878659503000, -1.7969883122, -2.3561366296,  2.6584925632
13878679656000, -1.5988583907, -2.7609067511,  3.2657358919
13878699530000, -1.2575584833, -2.7723972511,  4.1186300296
13878719486000, -0.7938573797, -2.3198999591,  5.0273143604
13878739468000, -0.2591757577, -1.4105668951,  5.7625598467
13878759503000,  0.2756534903, -0.1318549570,  6.1004390101
13878779661000,  0.7361655272,  1.3612966526,  5.8679830466
13878799500000,  1.0609628249,  2.8723507842,  4.9803810726
13878819481000,  1.2154210982,  4.1970201164,  3.4615797251
13878839493000,  1.1993731510,  5.1585786873,  1.4436168635
13878859510000,  1.0471106308,  5.6377585055, -0.8553356831
13878879663000,  0.8196245479,  5.5915446438, -3.1701204275
13878899490000,  0.5909200174,  5.0574827645, -5.2369684098
13878919485000,  0.4316273644,  4.1430863686, -6.8412070819
13878939493000,  0.3937079974,  3.0028490786, -7.8543702421
13878959485000,  0.4998119278,  1.8078536522, -8.2529712767
13878979658000,  0.7396684878,  0.7143163581, -8.1153639373
13878999506000,  1.0743465580, -0.1628353233, -7.5977378035
13879019471000,  1.4470769787, -0.7659354077, -6.8948216601
13879039428000,  1.7987034231, -1.0984554392, -6.1945231747
13879059501000,  2.0827274787, -1.2160017084, -5.6374462434
13879079658000,  2.2768898373, -1.2078219483, -5.2888399862
13879099510000,  2.3875737939, -1.1725216108, -5.1305201896
13879119486000,  2.4465991156, -1.1946714970, -5.0742269423
13879139486000,  2.5008535155, -1.3268520644, -4.9930190083
13879159500000,  2.5969364373, -1.5807674401, -4.7630984783
13879179661000,  2.7646844116, -1.9286905371, -4.3055874283
13879199513000,  3.0040459879, -2.3141620335, -3.6175034937
13879219485000,  3.2789667612, -2.6686731422, -2.7837957881
13879239490000,  3.5203850091, -2.9299903680, -1.9661463330
13879259505000,  3.6385129755, -3.0574659973, -1.3697352190
13879279663000,  3.5421778605, -3.0406805476, -1.1943540382
13879299515000,  3.1612203620, -2.8995601875, -1.5804553367
13879319483000,  2.4667959786, -2.6761947636, -2.5625795700
13879339488000,  1.4847848804, -2.4207452811, -4.0416838618
13879359498000,  0.2986687484, -2.1752480872, -5.7845384877
13879379658000, -0.9596737038, -1.9596524677, -7.4527444697
13879399501000, -2.1300838884, -1.7638965802, -8.6578099962
13879419486000, -3.0515728492, -1.5483968011, -9.0324582893
13879439501000, -3.5917368149, -1.2531506974, -8.3047759251
13879459498000, -3.6721986055, -0.8136996243, -6.3600996991
13879479500000, -3.2846571823, -0.1802558318, -3.2774234329
13879499546000, -2.4940618445,  0.6644656356,  0.6685010940
13879519475000, -1.4280580895,  1.6932885492,  5.0412080710
13879539485000, -0.2546726628,  2.8317210151,  9.3080235730
13879559498000,  0.8473568038,  3.9655603236, 12.9255263196
13879579661000,  1.7194394012,  4.9580533888, 15.4293559404
13879599508000,  2.2494663319,  5.6737125322, 16.5119506831
13879619481000,  2.3879514051,  6.0039299554, 16.0735095046
13879639490000,  2.1512561569,  5.8889969210, 14.2364257813
13879659500000,  1.6117678961,  5.3321258816, 11.3207521099
13879679653000,  0.8778687292,  4.4024768106,  7.7856736101
13879699538000,  0.0684290633,  3.2259649448,  4.1478616581
13879719485000, -0.7123690532,  1.9653439949,  0.8923419742
13879739473000, -1.3943407568,  0.7933081075, -1.6075966756
13879759508000, -1.9507668894, -0.1363679225, -3.1470881483
13879779658000, -2.3966011570, -0.7141504688, -3.7132038330
13879799500000, -2.7763675426, -0.8918293299, -3.4723970673
13879819480000, -3.1455056470, -0.6883687028, -2.7257973861
13879839490000, -3.5502054756, -0.1834944328, -1.8423763479
13879859500000, -4.0110583935,  0.4993717919, -1.1837620989
13879879658000, -4.5148084114,  1.2174023590, -1.0353543538
13879899491000, -5.0164952870,  1.8350341224, -1.5565099325
13879919486000, -5.4514746180,  2.2480953792, -2.7579116159
13879939488000, -5.7543786801,  2.4010223216, -4.5088314940
13879959501000, -5.8801178906,  2.2943264282, -6.5707498933
13879979660000, -5.8215057373,  1.9813738983, -8.6489363437
13879999503000, -5.6184633372,  1.5558340004,-10.4506697402
13880019476000, -5.3558400511,  1.1325837207,-11.7381852080
13880039511000, -5.1494095175,  0.8260741975,-12.3667686059
13880059505000, -5.1223871808,  0.7303529606,-12.3018762175
13880079610000, -5.3773179856,  0.9044450807,-11.6140918720
13880099516000, -5.9696849790,  1.3648379743,-10.4552633298
13880119491000, -6.8889358215,  2.0859017532, -9.0224372355
13880139526000, -8.0523279039,  3.0081297503, -7.5183326342
13880159511000, -9.3130119121,  4.0512269762, -6.1168577138
13880179618000,-10.4820123037,  5.1292524884, -4.9398981897
13880199508000,-11.3597367855,  6.1644392061, -4.0485067401
13880219486000,-11.7712674908,  7.0974618305, -3.4480031562
13880239515000,-11.5983037350,  7.8924552866, -3.1032158529
13880259508000,-10.8015075627,  8.5365142066, -2.9586965938
13880279615000, -9.4286489932,  9.0344360075, -2.9578831486
13880299528000, -7.6071375141,  9.4004628534, -3.0564981579
13880319485000, -5.5225487231,  9.6492654421, -3.2275762268
13880339508000, -3.3874970983,  9.7883170090, -3.4581511906
13880359546000, -1.4071605228,  9.8133893838, -3.7400788875
13880379633000,  0.2518352429,  9.7080586585, -4.0590366960
13880399606000,  1.4834550530,  9.4472646308, -4.3861427581
13880419493000,  2.2515576310,  9.0040897117, -4.6756320835
13880439606000,  2.5856294094,  8.3581825713, -4.8702310278
